compatibility_id,stroller_model,car_seat_brand,car_seat_model,audit_action,consumer_compatibility_status,consumer_status_basis,lineage_hypothesis_type,lineage_anchor_model,lineage_anchor_compatibility_id,anchor_adapter_name,anchor_adapter_sku,anchor_manufacturer_source_url,lineage_source_url,lineage_validation_result,rejection_reason
cmrjwdrt4002wy3w4ezfrd46r,Wayfinder,Cybex,Aton G2,REMOVE,UNKNOWN,NONE,SUSPECTED_SUCCESSOR_SAME_INTERFACE,,,,,,,INVALID_ANCHOR,Absent from our KEEP/production catalogue: no in-dataset KEEP (MANUFACTURER_EXACT) row for this seat's carrier line on the same canonical stroller/adapter. NOTE: 'absent from our catalogue' != 'not a real product' (e.g. Cybex Aton G is a real legacy seat missing from the CarSeat table).
cmrjwdrt3002sy3w493hrt9jm,Wayfinder,Cybex,Aton G2 Swivel,REMOVE,UNKNOWN,NONE,SUSPECTED_SUCCESSOR_SAME_INTERFACE,,,,,,,INVALID_ANCHOR,Absent from our KEEP/production catalogue: no in-dataset KEEP (MANUFACTURER_EXACT) row for this seat's carrier line on the same canonical stroller/adapter. NOTE: 'absent from our catalogue' != 'not a real product' (e.g. Cybex Aton G is a real legacy seat missing from the CarSeat table).
cmrjwdrtj0032y3w4pv2io7m5,Wayfinder,Cybex,Cloud G Pro Comfort Extend,REMOVE,UNKNOWN,NONE,SUSPECTED_SHARED_ATTACHMENT_PLATFORM,,,,,,,INVALID_ANCHOR,Absent from our KEEP/production catalogue: no in-dataset KEEP (MANUFACTURER_EXACT) row for this seat's carrier line on the same canonical stroller/adapter. NOTE: 'absent from our catalogue' != 'not a real product' (e.g. Cybex Aton G is a real legacy seat missing from the CarSeat table).
cmrjwdrtj002yy3w48lda0qd5,Wayfinder,Cybex,Cloud T,REMOVE,UNKNOWN,NONE,SUSPECTED_SHARED_ATTACHMENT_PLATFORM,,,,,,,INVALID_ANCHOR,Absent from our KEEP/production catalogue: no in-dataset KEEP (MANUFACTURER_EXACT) row for this seat's carrier line on the same canonical stroller/adapter. NOTE: 'absent from our catalogue' != 'not a real product' (e.g. Cybex Aton G is a real legacy seat missing from the CarSeat table).
cmrjwcj8y002gy3w4scj1vd4h,Wayfinder,Maxi-Cosi,Mico Luxe,REMOVE,UNKNOWN,NONE,SUSPECTED_SHARED_ATTACHMENT_PLATFORM,,,,,,,INVALID_ANCHOR,Absent from our KEEP/production catalogue: no in-dataset KEEP (MANUFACTURER_EXACT) row for this seat's carrier line on the same canonical stroller/adapter. NOTE: 'absent from our catalogue' != 'not a real product' (e.g. Cybex Aton G is a real legacy seat missing from the CarSeat table).
cmrjwcj840028y3w4onrfoaiw,Wayfinder,Maxi-Cosi,Mico Pro,REMOVE,UNKNOWN,NONE,SUSPECTED_SHARED_ATTACHMENT_PLATFORM,,,,,,,INVALID_ANCHOR,Absent from our KEEP/production catalogue: no in-dataset KEEP (MANUFACTURER_EXACT) row for this seat's carrier line on the same canonical stroller/adapter. NOTE: 'absent from our catalogue' != 'not a real product' (e.g. Cybex Aton G is a real legacy seat missing from the CarSeat table).
cmr0r9v940021rvv0wo7om23u,Wayfinder,Nuna,PIPA Aire,REMOVE,UNKNOWN,NONE,SUSPECTED_SHARED_ATTACHMENT_PLATFORM,,,,,,,INVALID_ANCHOR,Absent from our KEEP/production catalogue: no in-dataset KEEP (MANUFACTURER_EXACT) row for this seat's carrier line on the same canonical stroller/adapter. NOTE: 'absent from our catalogue' != 'not a real product' (e.g. Cybex Aton G is a real legacy seat missing from the CarSeat table).
bob-wayfinder__nuna-pipa-aire-rx,Wayfinder,Nuna,PIPA Aire rx,REMOVE,UNKNOWN,NONE,SUSPECTED_SHARED_ATTACHMENT_PLATFORM,,,,,,,INVALID_ANCHOR,Absent from our KEEP/production catalogue: no in-dataset KEEP (MANUFACTURER_EXACT) row for this seat's carrier line on the same canonical stroller/adapter. NOTE: 'absent from our catalogue' != 'not a real product' (e.g. Cybex Aton G is a real legacy seat missing from the CarSeat table).
bob-wayfinder__nuna-pipa-rx,Wayfinder,Nuna,PIPA RX,REMOVE,UNKNOWN,NONE,SUSPECTED_SHARED_ATTACHMENT_PLATFORM,,,,,,,INVALID_ANCHOR,Absent from our KEEP/production catalogue: no in-dataset KEEP (MANUFACTURER_EXACT) row for this seat's carrier line on the same canonical stroller/adapter. NOTE: 'absent from our catalogue' != 'not a real product' (e.g. Cybex Aton G is a real legacy seat missing from the CarSeat table).
cmr0r9vih0023rvv0xfplo93x,Wayfinder,Nuna,PIPA urbn,REMOVE,UNKNOWN,NONE,SUSPECTED_SHARED_ATTACHMENT_PLATFORM,,,,,,,INVALID_ANCHOR,Absent from our KEEP/production catalogue: no in-dataset KEEP (MANUFACTURER_EXACT) row for this seat's carrier line on the same canonical stroller/adapter. NOTE: 'absent from our catalogue' != 'not a real product' (e.g. Cybex Aton G is a real legacy seat missing from the CarSeat table).
cms94r0wp008bi76bdmkiuh3f,Shine,Cybex,Aton G2,REMOVE,UNKNOWN,NONE,SUSPECTED_SUCCESSOR_SAME_INTERFACE,,,,,,,INVALID_ANCHOR,Absent from our KEEP/production catalogue: no in-dataset KEEP (MANUFACTURER_EXACT) row for this seat's carrier line on the same canonical stroller/adapter. NOTE: 'absent from our catalogue' != 'not a real product' (e.g. Cybex Aton G is a real legacy seat missing from the CarSeat table).
cms94r0w80083i76bviniba0o,Shine,Cybex,Aton G2 Swivel,REMOVE,UNKNOWN,NONE,SUSPECTED_SUCCESSOR_SAME_INTERFACE,,,,,,,INVALID_ANCHOR,Absent from our KEEP/production catalogue: no in-dataset KEEP (MANUFACTURER_EXACT) row for this seat's carrier line on the same canonical stroller/adapter. NOTE: 'absent from our catalogue' != 'not a real product' (e.g. Cybex Aton G is a real legacy seat missing from the CarSeat table).
cms94r0wb0089i76bc4261fcl,Shine,Cybex,Cloud G Pro Comfort Extend,REMOVE,UNKNOWN,NONE,SUSPECTED_SHARED_ATTACHMENT_PLATFORM,,,,,,,INVALID_ANCHOR,Absent from our KEEP/production catalogue: no in-dataset KEEP (MANUFACTURER_EXACT) row for this seat's carrier line on the same canonical stroller/adapter. NOTE: 'absent from our catalogue' != 'not a real product' (e.g. Cybex Aton G is a real legacy seat missing from the CarSeat table).
cms94r0w80087i76bxkjh3pof,Shine,Cybex,Cloud T,REMOVE,UNKNOWN,NONE,SUSPECTED_SHARED_ATTACHMENT_PLATFORM,,,,,,,INVALID_ANCHOR,Absent from our KEEP/production catalogue: no in-dataset KEEP (MANUFACTURER_EXACT) row for this seat's carrier line on the same canonical stroller/adapter. NOTE: 'absent from our catalogue' != 'not a real product' (e.g. Cybex Aton G is a real legacy seat missing from the CarSeat table).
cms94q13p007li76bzqtqsc3c,Shine,Maxi-Cosi,Mico Luxe,REMOVE,UNKNOWN,NONE,SUSPECTED_SHARED_ATTACHMENT_PLATFORM,,,,,,,INVALID_ANCHOR,Absent from our KEEP/production catalogue: no in-dataset KEEP (MANUFACTURER_EXACT) row for this seat's carrier line on the same canonical stroller/adapter. NOTE: 'absent from our catalogue' != 'not a real product' (e.g. Cybex Aton G is a real legacy seat missing from the CarSeat table).
cms94q171007zi76b01u709ct,Shine,Maxi-Cosi,Mico Pro,REMOVE,UNKNOWN,NONE,SUSPECTED_SHARED_ATTACHMENT_PLATFORM,,,,,,,INVALID_ANCHOR,Absent from our KEEP/production catalogue: no in-dataset KEEP (MANUFACTURER_EXACT) row for this seat's carrier line on the same canonical stroller/adapter. NOTE: 'absent from our catalogue' != 'not a real product' (e.g. Cybex Aton G is a real legacy seat missing from the CarSeat table).
cms94q13q007pi76bnv9dk212,Shine,Maxi-Cosi,Mico XP,REMOVE,UNKNOWN,NONE,SUSPECTED_SHARED_ATTACHMENT_PLATFORM,,,,,,,INVALID_ANCHOR,Absent from our KEEP/production catalogue: no in-dataset KEEP (MANUFACTURER_EXACT) row for this seat's carrier line on the same canonical stroller/adapter. NOTE: 'absent from our catalogue' != 'not a real product' (e.g. Cybex Aton G is a real legacy seat missing from the CarSeat table).
cmr1eu3el0009ab5gae25ss1h,Shine,Nuna,PIPA Aire,REMOVE,SHOULD_WORK_UNVERIFIED,MANUFACTURER_PLATFORM_GROUP,SUSPECTED_SHARED_ATTACHMENT_PLATFORM,Nuna PIPA RX,cmr1eu3py000dab5guf7fmm9d,Thule Shine car seat adapter – Maxi-Cosi,11400502,https://www.thule.com/-/s/approved/std.lang.all/51/50/1205150.pdf,https://nunababy.com/usa/pipa-car-seat-adapter-for-uppababy-vista-cruz,PROMOTED_SHOULD_WORK,
cmr1eu3ka000bab5gq51keve8,Shine,Nuna,PIPA Aire rx,REMOVE,SHOULD_WORK_UNVERIFIED,MANUFACTURER_PLATFORM_GROUP,SUSPECTED_SHARED_ATTACHMENT_PLATFORM,Nuna PIPA RX,cmr1eu3py000dab5guf7fmm9d,Thule Shine car seat adapter – Maxi-Cosi,11400502,https://www.thule.com/-/s/approved/std.lang.all/51/50/1205150.pdf,https://nunababy.com/usa/pipa-car-seat-adapter-for-uppababy-vista-cruz,PROMOTED_SHOULD_WORK,
cmr1eu3vj000fab5gfnv7cuwv,Shine,Nuna,PIPA urbn,REMOVE,SHOULD_WORK_UNVERIFIED,MANUFACTURER_PLATFORM_GROUP,SUSPECTED_SHARED_ATTACHMENT_PLATFORM,Nuna PIPA RX,cmr1eu3py000dab5guf7fmm9d,Thule Shine car seat adapter – Maxi-Cosi,11400502,https://www.thule.com/-/s/approved/std.lang.all/51/50/1205150.pdf,https://nunababy.com/usa/pipa-urbn,PROMOTED_SHOULD_WORK,
thule-sleek__maxi-cosi-mico-luxe,Sleek,Maxi-Cosi,Mico Luxe,REMOVE,UNKNOWN,NONE,SUSPECTED_SHARED_ATTACHMENT_PLATFORM,,,,,,,INVALID_ANCHOR,Absent from our KEEP/production catalogue: no in-dataset KEEP (MANUFACTURER_EXACT) row for this seat's carrier line on the same canonical stroller/adapter. NOTE: 'absent from our catalogue' != 'not a real product' (e.g. Cybex Aton G is a real legacy seat missing from the CarSeat table).
thule-sleek__maxi-cosi-mico-pro,Sleek,Maxi-Cosi,Mico Pro,REMOVE,UNKNOWN,NONE,SUSPECTED_SHARED_ATTACHMENT_PLATFORM,,,,,,,INVALID_ANCHOR,Absent from our KEEP/production catalogue: no in-dataset KEEP (MANUFACTURER_EXACT) row for this seat's carrier line on the same canonical stroller/adapter. NOTE: 'absent from our catalogue' != 'not a real product' (e.g. Cybex Aton G is a real legacy seat missing from the CarSeat table).
thule-sleek__nuna-pipa-lite-rx,Sleek,Nuna,PIPA Aire,REMOVE,UNKNOWN,NONE,SUSPECTED_SHARED_ATTACHMENT_PLATFORM,,,,,,,INVALID_ANCHOR,Absent from our KEEP/production catalogue: no in-dataset KEEP (MANUFACTURER_EXACT) row for this seat's carrier line on the same canonical stroller/adapter. NOTE: 'absent from our catalogue' != 'not a real product' (e.g. Cybex Aton G is a real legacy seat missing from the CarSeat table).
thule-sleek__nuna-pipa-aire-rx,Sleek,Nuna,PIPA Aire rx,REMOVE,UNKNOWN,NONE,SUSPECTED_SHARED_ATTACHMENT_PLATFORM,,,,,,,INVALID_ANCHOR,Absent from our KEEP/production catalogue: no in-dataset KEEP (MANUFACTURER_EXACT) row for this seat's carrier line on the same canonical stroller/adapter. NOTE: 'absent from our catalogue' != 'not a real product' (e.g. Cybex Aton G is a real legacy seat missing from the CarSeat table).
thule-sleek__nuna-pipa-rx,Sleek,Nuna,PIPA RX,REMOVE,UNKNOWN,NONE,SUSPECTED_SHARED_ATTACHMENT_PLATFORM,,,,,,,INVALID_ANCHOR,Absent from our KEEP/production catalogue: no in-dataset KEEP (MANUFACTURER_EXACT) row for this seat's carrier line on the same canonical stroller/adapter. NOTE: 'absent from our catalogue' != 'not a real product' (e.g. Cybex Aton G is a real legacy seat missing from the CarSeat table).
thule-sleek__nuna-pipa-urbn,Sleek,Nuna,PIPA urbn,REMOVE,UNKNOWN,NONE,SUSPECTED_SHARED_ATTACHMENT_PLATFORM,,,,,,,INVALID_ANCHOR,Absent from our KEEP/production catalogue: no in-dataset KEEP (MANUFACTURER_EXACT) row for this seat's carrier line on the same canonical stroller/adapter. NOTE: 'absent from our catalogue' != 'not a real product' (e.g. Cybex Aton G is a real legacy seat missing from the CarSeat table).
cms950c77009fi76bxkjwt0ef,Spring 2,Cybex,Aton G2,REMOVE,UNKNOWN,NONE,SUSPECTED_SUCCESSOR_SAME_INTERFACE,,,,,,,INVALID_ANCHOR,Absent from our KEEP/production catalogue: no in-dataset KEEP (MANUFACTURER_EXACT) row for this seat's carrier line on the same canonical stroller/adapter. NOTE: 'absent from our catalogue' != 'not a real product' (e.g. Cybex Aton G is a real legacy seat missing from the CarSeat table).
cms950c7o009ji76bqwh09ouz,Spring 2,Cybex,Aton G2 Swivel,REMOVE,UNKNOWN,NONE,SUSPECTED_SUCCESSOR_SAME_INTERFACE,,,,,,,INVALID_ANCHOR,Absent from our KEEP/production catalogue: no in-dataset KEEP (MANUFACTURER_EXACT) row for this seat's carrier line on the same canonical stroller/adapter. NOTE: 'absent from our catalogue' != 'not a real product' (e.g. Cybex Aton G is a real legacy seat missing from the CarSeat table).
cms950c77009gi76bjy5myo6e,Spring 2,Cybex,Cloud G Pro Comfort Extend,REMOVE,UNKNOWN,NONE,SUSPECTED_SHARED_ATTACHMENT_PLATFORM,,,,,,,INVALID_ANCHOR,Absent from our KEEP/production catalogue: no in-dataset KEEP (MANUFACTURER_EXACT) row for this seat's carrier line on the same canonical stroller/adapter. NOTE: 'absent from our catalogue' != 'not a real product' (e.g. Cybex Aton G is a real legacy seat missing from the CarSeat table).
cms950c77009di76bjdt8cdky,Spring 2,Cybex,Cloud T,REMOVE,UNKNOWN,NONE,SUSPECTED_SHARED_ATTACHMENT_PLATFORM,,,,,,,INVALID_ANCHOR,Absent from our KEEP/production catalogue: no in-dataset KEEP (MANUFACTURER_EXACT) row for this seat's carrier line on the same canonical stroller/adapter. NOTE: 'absent from our catalogue' != 'not a real product' (e.g. Cybex Aton G is a real legacy seat missing from the CarSeat table).
cms94zat5008xi76bby1a97bs,Spring 2,Maxi-Cosi,Mico Luxe,REMOVE,UNKNOWN,NONE,SUSPECTED_SHARED_ATTACHMENT_PLATFORM,,,,,,,INVALID_ANCHOR,Absent from our KEEP/production catalogue: no in-dataset KEEP (MANUFACTURER_EXACT) row for this seat's carrier line on the same canonical stroller/adapter. NOTE: 'absent from our catalogue' != 'not a real product' (e.g. Cybex Aton G is a real legacy seat missing from the CarSeat table).
cms94zatc0093i76b2binf5tk,Spring 2,Maxi-Cosi,Mico Pro,REMOVE,UNKNOWN,NONE,SUSPECTED_SHARED_ATTACHMENT_PLATFORM,,,,,,,INVALID_ANCHOR,Absent from our KEEP/production catalogue: no in-dataset KEEP (MANUFACTURER_EXACT) row for this seat's carrier line on the same canonical stroller/adapter. NOTE: 'absent from our catalogue' != 'not a real product' (e.g. Cybex Aton G is a real legacy seat missing from the CarSeat table).
cms94zatt0097i76b8aeya0ll,Spring 2,Maxi-Cosi,Mico XP,REMOVE,UNKNOWN,NONE,SUSPECTED_SHARED_ATTACHMENT_PLATFORM,,,,,,,INVALID_ANCHOR,Absent from our KEEP/production catalogue: no in-dataset KEEP (MANUFACTURER_EXACT) row for this seat's carrier line on the same canonical stroller/adapter. NOTE: 'absent from our catalogue' != 'not a real product' (e.g. Cybex Aton G is a real legacy seat missing from the CarSeat table).
cmr0r9piu0001rvv04yn52arl,Spring 2,Nuna,PIPA Aire,REMOVE,SHOULD_WORK_UNVERIFIED,MANUFACTURER_PLATFORM_GROUP,SUSPECTED_SHARED_ATTACHMENT_PLATFORM,Nuna PIPA RX,cmr0r9pu60005rvv0mup0ybb5,Thule Spring car seat adapter – Maxi-Cosi,11300410,https://www.thule.com/-/s/approved/std.lang.all/38/59/783859.pdf,https://nunababy.com/usa/pipa-car-seat-adapter-for-uppababy-vista-cruz,PROMOTED_SHOULD_WORK,
cmr0r9ppo0003rvv0zmn6u2es,Spring 2,Nuna,PIPA Aire rx,REMOVE,SHOULD_WORK_UNVERIFIED,MANUFACTURER_PLATFORM_GROUP,SUSPECTED_SHARED_ATTACHMENT_PLATFORM,Nuna PIPA RX,cmr0r9pu60005rvv0mup0ybb5,Thule Spring car seat adapter – Maxi-Cosi,11300410,https://www.thule.com/-/s/approved/std.lang.all/38/59/783859.pdf,https://nunababy.com/usa/pipa-car-seat-adapter-for-uppababy-vista-cruz,PROMOTED_SHOULD_WORK,
cmr0r9q1j0007rvv0h8a5flc5,Spring 2,Nuna,PIPA urbn,REMOVE,SHOULD_WORK_UNVERIFIED,MANUFACTURER_PLATFORM_GROUP,SUSPECTED_SHARED_ATTACHMENT_PLATFORM,Nuna PIPA RX,cmr0r9pu60005rvv0mup0ybb5,Thule Spring car seat adapter – Maxi-Cosi,11300410,https://www.thule.com/-/s/approved/std.lang.all/38/59/783859.pdf,https://nunababy.com/usa/pipa-urbn,PROMOTED_SHOULD_WORK,
