compatibility_id,stroller_brand,stroller_model,car_seat_brand,car_seat_model,production_compatibility_type,audit_action,audit_confidence,reason,evidence_type,source_type,manufacturer_source_url,source_name,source_date,compatibility_type,adapter_required,adapter_status,adapter_name,adapter_sku,adapter_url,adapter_generation,adapter_revision,compatibility_position,max_infant_car_seats,notes,consumer_compatibility_status,consumer_status_basis,lineage_anchor_model,lineage_source_url,lineage_hypothesis_type,lineage_anchor_compatibility_id
bob-rambler__britax-willow-s,BOB,Rambler,Britax,Willow S,ADAPTER,KEEP_UPDATE,HIGH,On BOB BOB Single Britax ClickTight adapter (S943900) exact list for this chassis.,MANUFACTURER_EXACT_MODEL,MANUFACTURER_EXACT_MODEL,https://www.bobgear.com/accessories/single-jogging-stroller-adapter-for-select-britax-infant-car-seats,BOB Single Britax ClickTight adapter,January 2025,ADAPTER,true,SOLD_SEPARATELY,BOB Single Britax ClickTight adapter,S943900,https://www.bobgear.com/accessories/single-jogging-stroller-adapter-for-select-britax-infant-car-seats,,,,,,COMPATIBLE_WITH_ADAPTER,MANUFACTURER_EXACT,,https://www.bobgear.com/accessories/single-jogging-stroller-adapter-for-select-britax-infant-car-seats,NONE,
bob-rambler__nuna-pipa-aire-rx,BOB,Rambler,Nuna,PIPA Aire rx,ADAPTER,REMOVE,HIGH,Not on BOB's exact adapter list for Rambler. Newer/again-named seat not enumerated on the current chart.,MANUFACTURER_EXACT_MODEL,MANUFACTURER_EXACT_MODEL,https://www.bobgear.com/accessories/cybex-maxi-cosi-nuna-single-infant-car-seat-adapter-2021,BOB Single Cybex/Maxi-Cosi/Nuna adapter,January 2025,,,,,,,,,,,,UNKNOWN,NONE,,,SUSPECTED_SHARED_ATTACHMENT_PLATFORM,
bob-rambler__nuna-pipa-rx,BOB,Rambler,Nuna,PIPA RX,ADAPTER,REMOVE,HIGH,Not on BOB's exact adapter list for Rambler. Newer/again-named seat not enumerated on the current chart.,MANUFACTURER_EXACT_MODEL,MANUFACTURER_EXACT_MODEL,https://www.bobgear.com/accessories/cybex-maxi-cosi-nuna-single-infant-car-seat-adapter-2021,BOB Single Cybex/Maxi-Cosi/Nuna adapter,January 2025,,,,,,,,,,,,UNKNOWN,NONE,,,SUSPECTED_SHARED_ATTACHMENT_PLATFORM,
cmr5mq9a8000j10s6kj0k8r2i,BOB,Rambler,Nuna,PIPA urbn,ADAPTER,REMOVE,HIGH,Not on BOB's exact adapter list for Rambler. Newer/again-named seat not enumerated on the current chart.,MANUFACTURER_EXACT_MODEL,MANUFACTURER_EXACT_MODEL,https://www.bobgear.com/accessories/cybex-maxi-cosi-nuna-single-infant-car-seat-adapter-2021,BOB Single Cybex/Maxi-Cosi/Nuna adapter,January 2025,,,,,,,,,,,,UNKNOWN,NONE,,,SUSPECTED_SHARED_ATTACHMENT_PLATFORM,
bob-renegade-wagon__britax-cypress-s,BOB,Renegade Wagon,Britax,Cypress S,ADAPTER,KEEP_UPDATE,HIGH,On BOB BOB Renegade Wagon adapter (S14685500) exact list for this chassis.,MANUFACTURER_EXACT_MODEL,MANUFACTURER_EXACT_MODEL,https://www.bobgear.com/accessories/renegade-wagon-infant-car-seat-adapter,BOB Renegade Wagon adapter,January 2025,ADAPTER,true,SOLD_SEPARATELY,BOB Renegade Wagon adapter,S14685500,https://www.bobgear.com/accessories/renegade-wagon-infant-car-seat-adapter,,,,,,COMPATIBLE_WITH_ADAPTER,MANUFACTURER_EXACT,,https://www.bobgear.com/accessories/renegade-wagon-infant-car-seat-adapter,NONE,
bob-renegade-wagon__britax-willow-s,BOB,Renegade Wagon,Britax,Willow S,ADAPTER,KEEP_UPDATE,HIGH,On BOB BOB Renegade Wagon adapter (S14685500) exact list for this chassis.,MANUFACTURER_EXACT_MODEL,MANUFACTURER_EXACT_MODEL,https://www.bobgear.com/accessories/renegade-wagon-infant-car-seat-adapter,BOB Renegade Wagon adapter,January 2025,ADAPTER,true,SOLD_SEPARATELY,BOB Renegade Wagon adapter,S14685500,https://www.bobgear.com/accessories/renegade-wagon-infant-car-seat-adapter,,,,,,COMPATIBLE_WITH_ADAPTER,MANUFACTURER_EXACT,,https://www.bobgear.com/accessories/renegade-wagon-infant-car-seat-adapter,NONE,
bob-renegade-wagon__nuna-pipa-aire-rx,BOB,Renegade Wagon,Nuna,PIPA Aire rx,ADAPTER,REMOVE,HIGH,Not on BOB's exact adapter list for Renegade Wagon. Newer/again-named seat not enumerated on the current chart.,MANUFACTURER_EXACT_MODEL,MANUFACTURER_EXACT_MODEL,https://www.bobgear.com/accessories/renegade-wagon-infant-car-seat-adapter,BOB Renegade Wagon adapter,January 2025,,,,,,,,,,,,UNKNOWN,NONE,,,SUSPECTED_SHARED_ATTACHMENT_PLATFORM,
bob-renegade-wagon__nuna-pipa-rx,BOB,Renegade Wagon,Nuna,PIPA RX,ADAPTER,REMOVE,HIGH,Not on BOB's exact adapter list for Renegade Wagon. Newer/again-named seat not enumerated on the current chart.,MANUFACTURER_EXACT_MODEL,MANUFACTURER_EXACT_MODEL,https://www.bobgear.com/accessories/renegade-wagon-infant-car-seat-adapter,BOB Renegade Wagon adapter,January 2025,,,,,,,,,,,,UNKNOWN,NONE,,,SUSPECTED_SHARED_ATTACHMENT_PLATFORM,
cmr5mq93c000h10s6ccadrjne,BOB,Renegade Wagon,Nuna,PIPA urbn,ADAPTER,REMOVE,HIGH,Not on BOB's exact adapter list for Renegade Wagon. Newer/again-named seat not enumerated on the current chart.,MANUFACTURER_EXACT_MODEL,MANUFACTURER_EXACT_MODEL,https://www.bobgear.com/accessories/renegade-wagon-infant-car-seat-adapter,BOB Renegade Wagon adapter,January 2025,,,,,,,,,,,,UNKNOWN,NONE,,,SUSPECTED_SHARED_ATTACHMENT_PLATFORM,
bob-revolution-flex-3__britax-cypress-s,BOB,Revolution Flex 3.0,Britax,Cypress S,ADAPTER,KEEP_UPDATE,HIGH,On BOB BOB Single Britax ClickTight adapter (S943900) exact list for this chassis.,MANUFACTURER_EXACT_MODEL,MANUFACTURER_EXACT_MODEL,https://www.bobgear.com/accessories/single-jogging-stroller-adapter-for-select-britax-infant-car-seats,BOB Single Britax ClickTight adapter,January 2025,ADAPTER,true,SOLD_SEPARATELY,BOB Single Britax ClickTight adapter,S943900,https://www.bobgear.com/accessories/single-jogging-stroller-adapter-for-select-britax-infant-car-seats,,,,,,COMPATIBLE_WITH_ADAPTER,MANUFACTURER_EXACT,,https://www.bobgear.com/accessories/single-jogging-stroller-adapter-for-select-britax-infant-car-seats,NONE,
bob-revolution-flex-3__britax-willow-s,BOB,Revolution Flex 3.0,Britax,Willow S,ADAPTER,KEEP_UPDATE,HIGH,On BOB BOB Single Britax ClickTight adapter (S943900) exact list for this chassis.,MANUFACTURER_EXACT_MODEL,MANUFACTURER_EXACT_MODEL,https://www.bobgear.com/accessories/single-jogging-stroller-adapter-for-select-britax-infant-car-seats,BOB Single Britax ClickTight adapter,January 2025,ADAPTER,true,SOLD_SEPARATELY,BOB Single Britax ClickTight adapter,S943900,https://www.bobgear.com/accessories/single-jogging-stroller-adapter-for-select-britax-infant-car-seats,,,,,,COMPATIBLE_WITH_ADAPTER,MANUFACTURER_EXACT,,https://www.bobgear.com/accessories/single-jogging-stroller-adapter-for-select-britax-infant-car-seats,NONE,
cmrmw9w020009nxw1hrsqsjbs,BOB,Revolution Flex 3.0,Britax,Willow SC,ADAPTER,KEEP_UPDATE,HIGH,On BOB BOB Single Britax ClickTight adapter (S943900) exact list for this chassis.,MANUFACTURER_EXACT_MODEL,MANUFACTURER_EXACT_MODEL,https://www.bobgear.com/accessories/single-jogging-stroller-adapter-for-select-britax-infant-car-seats,BOB Single Britax ClickTight adapter,January 2025,ADAPTER,true,SOLD_SEPARATELY,BOB Single Britax ClickTight adapter,S943900,https://www.bobgear.com/accessories/single-jogging-stroller-adapter-for-select-britax-infant-car-seats,,,,,,COMPATIBLE_WITH_ADAPTER,MANUFACTURER_EXACT,,https://www.bobgear.com/accessories/single-jogging-stroller-adapter-for-select-britax-infant-car-seats,NONE,
cmrjw737p001ey3w4o56l9mo7,BOB,Revolution Flex 3.0,Chicco,KeyFit 30,ADAPTER,KEEP_UPDATE,HIGH,On BOB BOB Single Chicco adapter (S12045900) exact list for this chassis.,MANUFACTURER_EXACT_MODEL,MANUFACTURER_EXACT_MODEL,https://www.bobgear.com/accessories/single-jogging-stroller-adapter-chicco-infant-car-seats,BOB Single Chicco adapter,January 2025,ADAPTER,true,SOLD_SEPARATELY,BOB Single Chicco adapter,S12045900,https://www.bobgear.com/accessories/single-jogging-stroller-adapter-chicco-infant-car-seats,,,,,,COMPATIBLE_WITH_ADAPTER,MANUFACTURER_EXACT,,https://www.bobgear.com/accessories/single-jogging-stroller-adapter-chicco-infant-car-seats,NONE,
cmrjw738d001my3w4gk4yq3fm,BOB,Revolution Flex 3.0,Chicco,KeyFit 30 ClearTex,ADAPTER,KEEP_UPDATE,HIGH,On BOB BOB Single Chicco adapter (S12045900) exact list for this chassis.,MANUFACTURER_EXACT_MODEL,MANUFACTURER_EXACT_MODEL,https://www.bobgear.com/accessories/single-jogging-stroller-adapter-chicco-infant-car-seats,BOB Single Chicco adapter,January 2025,ADAPTER,true,SOLD_SEPARATELY,BOB Single Chicco adapter,S12045900,https://www.bobgear.com/accessories/single-jogging-stroller-adapter-chicco-infant-car-seats,,,,,,COMPATIBLE_WITH_ADAPTER,MANUFACTURER_EXACT,,https://www.bobgear.com/accessories/single-jogging-stroller-adapter-chicco-infant-car-seats,NONE,
cmrjw73a3001qy3w4p1jzvyjc,BOB,Revolution Flex 3.0,Chicco,KeyFit Max ClearTex,ADAPTER,REMOVE,HIGH,Not on BOB's exact adapter list for Revolution Flex 3.0. Newer/again-named seat not enumerated on the current chart.,MANUFACTURER_EXACT_MODEL,MANUFACTURER_EXACT_MODEL,https://www.bobgear.com/accessories/single-jogging-stroller-adapter-chicco-infant-car-seats,BOB Single Chicco adapter,January 2025,,,,,,,,,,,,UNKNOWN,NONE,,,NONE,
cmrjw737q001iy3w4qx0zc39y,BOB,Revolution Flex 3.0,Chicco,KeyFit Max Zip ClearLux,ADAPTER,REMOVE,HIGH,Not on BOB's exact adapter list for Revolution Flex 3.0. Newer/again-named seat not enumerated on the current chart.,MANUFACTURER_EXACT_MODEL,MANUFACTURER_EXACT_MODEL,https://www.bobgear.com/accessories/single-jogging-stroller-adapter-chicco-infant-car-seats,BOB Single Chicco adapter,January 2025,,,,,,,,,,,,UNKNOWN,NONE,,,NONE,
cmrjw7397001oy3w44l3w0jrj,BOB,Revolution Flex 3.0,Chicco,KeyFit Max Zip ClearTex,ADAPTER,REMOVE,HIGH,Not on BOB's exact adapter list for Revolution Flex 3.0. Newer/again-named seat not enumerated on the current chart.,MANUFACTURER_EXACT_MODEL,MANUFACTURER_EXACT_MODEL,https://www.bobgear.com/accessories/single-jogging-stroller-adapter-chicco-infant-car-seats,BOB Single Chicco adapter,January 2025,,,,,,,,,,,,UNKNOWN,NONE,,,NONE,
cmrjw3hbc000hy3w423xhzxlo,BOB,Revolution Flex 3.0,Clek,Liing,ADAPTER,REMOVE,HIGH,Not on BOB's exact adapter list for Revolution Flex 3.0. BOB makes no Clek adapter.,MANUFACTURER_EXACT_MODEL,MANUFACTURER_EXACT_MODEL,https://www.bobgear.com/accessories/single-jogging-stroller-adapter-for-select-britax-infant-car-seats,BOB Single Britax ClickTight adapter,January 2025,,,,,,,,,,,,UNKNOWN,NONE,,,NONE,
cmrjw3hbb000dy3w4aqk5gmsp,BOB,Revolution Flex 3.0,Clek,Liingo,ADAPTER,REMOVE,HIGH,Not on BOB's exact adapter list for Revolution Flex 3.0. BOB makes no Clek adapter.,MANUFACTURER_EXACT_MODEL,MANUFACTURER_EXACT_MODEL,https://www.bobgear.com/accessories/single-jogging-stroller-adapter-for-select-britax-infant-car-seats,BOB Single Britax ClickTight adapter,January 2025,,,,,,,,,,,,UNKNOWN,NONE,,,NONE,
cmrjw3hg7000ly3w4ylv8470k,BOB,Revolution Flex 3.0,Cybex,Aton G2,ADAPTER,REMOVE,HIGH,Not on BOB's exact adapter list for Revolution Flex 3.0. Newer/again-named seat not enumerated on the current chart.,MANUFACTURER_EXACT_MODEL,MANUFACTURER_EXACT_MODEL,https://www.bobgear.com/accessories/cybex-maxi-cosi-nuna-single-infant-car-seat-adapter-2021,BOB Single Cybex/Maxi-Cosi/Nuna adapter,January 2025,,,,,,,,,,,,UNKNOWN,NONE,,,SUSPECTED_SUCCESSOR_SAME_INTERFACE,
cmrjw3hgx000py3w4c7d6409v,BOB,Revolution Flex 3.0,Cybex,Aton G2 Swivel,ADAPTER,REMOVE,HIGH,Not on BOB's exact adapter list for Revolution Flex 3.0. Newer/again-named seat not enumerated on the current chart.,MANUFACTURER_EXACT_MODEL,MANUFACTURER_EXACT_MODEL,https://www.bobgear.com/accessories/cybex-maxi-cosi-nuna-single-infant-car-seat-adapter-2021,BOB Single Cybex/Maxi-Cosi/Nuna adapter,January 2025,,,,,,,,,,,,UNKNOWN,NONE,,,SUSPECTED_SUCCESSOR_SAME_INTERFACE,
cmrjw3hbc000jy3w41ysh24hz,BOB,Revolution Flex 3.0,Cybex,Cloud G Pro Comfort Extend,ADAPTER,REMOVE,HIGH,Not on BOB's exact adapter list for Revolution Flex 3.0. Newer/again-named seat not enumerated on the current chart.,MANUFACTURER_EXACT_MODEL,MANUFACTURER_EXACT_MODEL,https://www.bobgear.com/accessories/cybex-maxi-cosi-nuna-single-infant-car-seat-adapter-2021,BOB Single Cybex/Maxi-Cosi/Nuna adapter,January 2025,,,,,,,,,,,,UNKNOWN,NONE,,,SUSPECTED_SHARED_ATTACHMENT_PLATFORM,
cmrjw3hbc000fy3w41gfd2qkp,BOB,Revolution Flex 3.0,Cybex,Cloud T,ADAPTER,REMOVE,HIGH,Not on BOB's exact adapter list for Revolution Flex 3.0. Newer/again-named seat not enumerated on the current chart.,MANUFACTURER_EXACT_MODEL,MANUFACTURER_EXACT_MODEL,https://www.bobgear.com/accessories/cybex-maxi-cosi-nuna-single-infant-car-seat-adapter-2021,BOB Single Cybex/Maxi-Cosi/Nuna adapter,January 2025,,,,,,,,,,,,UNKNOWN,NONE,,,SUSPECTED_SHARED_ATTACHMENT_PLATFORM,
cmrjw8y8m001uy3w4apw1p36i,BOB,Revolution Flex 3.0,Graco,GoMax,ADAPTER,REMOVE,HIGH,Not on BOB's exact adapter list for Revolution Flex 3.0. Newer/again-named seat not enumerated on the current chart.,MANUFACTURER_EXACT_MODEL,MANUFACTURER_EXACT_MODEL,https://www.bobgear.com/accessories/single-jogging-stroller-adapter-graco-infant-car-seats,BOB Single Graco adapter (All SnugRide),January 2025,,,,,,,,,,,,UNKNOWN,NONE,,,NONE,
cmrjw8y8n0020y3w4ovzygjfm,BOB,Revolution Flex 3.0,Graco,SnugRide Lite LX,ADAPTER,KEEP_UPDATE,HIGH,"Graco snugride lite lx is a SnugRide model; BOB Graco adapter covers ""All SnugRide models"".",MANUFACTURER_EXACT_MODEL,MANUFACTURER_EXACT_MODEL,https://www.bobgear.com/accessories/single-jogging-stroller-adapter-graco-infant-car-seats,BOB Single Graco adapter (All SnugRide),January 2025,ADAPTER,true,SOLD_SEPARATELY,BOB Single Graco adapter (All SnugRide),S12045400,https://www.bobgear.com/accessories/single-jogging-stroller-adapter-graco-infant-car-seats,,,,,,COMPATIBLE_WITH_ADAPTER,MANUFACTURER_EXACT,,https://www.bobgear.com/accessories/single-jogging-stroller-adapter-graco-infant-car-seats,NONE,
cmrjw8y8n001yy3w438af6kdl,BOB,Revolution Flex 3.0,Graco,SnugRide SnugFit,ADAPTER,KEEP_UPDATE,HIGH,"Graco snugride snugfit is a SnugRide model; BOB Graco adapter covers ""All SnugRide models"".",MANUFACTURER_EXACT_MODEL,MANUFACTURER_EXACT_MODEL,https://www.bobgear.com/accessories/single-jogging-stroller-adapter-graco-infant-car-seats,BOB Single Graco adapter (All SnugRide),January 2025,ADAPTER,true,SOLD_SEPARATELY,BOB Single Graco adapter (All SnugRide),S12045400,https://www.bobgear.com/accessories/single-jogging-stroller-adapter-graco-infant-car-seats,,,,,,COMPATIBLE_WITH_ADAPTER,MANUFACTURER_EXACT,,https://www.bobgear.com/accessories/single-jogging-stroller-adapter-graco-infant-car-seats,NONE,
cmrjw8y8n001wy3w4uy8zqcus,BOB,Revolution Flex 3.0,Graco,SnugRide SnugFit DLX,ADAPTER,KEEP_UPDATE,HIGH,"Graco snugride snugfit dlx is a SnugRide model; BOB Graco adapter covers ""All SnugRide models"".",MANUFACTURER_EXACT_MODEL,MANUFACTURER_EXACT_MODEL,https://www.bobgear.com/accessories/single-jogging-stroller-adapter-graco-infant-car-seats,BOB Single Graco adapter (All SnugRide),January 2025,ADAPTER,true,SOLD_SEPARATELY,BOB Single Graco adapter (All SnugRide),S12045400,https://www.bobgear.com/accessories/single-jogging-stroller-adapter-graco-infant-car-seats,,,,,,COMPATIBLE_WITH_ADAPTER,MANUFACTURER_EXACT,,https://www.bobgear.com/accessories/single-jogging-stroller-adapter-graco-infant-car-seats,NONE,
cmrjw8y8m001sy3w4jid1lrpy,BOB,Revolution Flex 3.0,Graco,SnugRide SnugFit LX,ADAPTER,KEEP_UPDATE,HIGH,"Graco snugride snugfit lx is a SnugRide model; BOB Graco adapter covers ""All SnugRide models"".",MANUFACTURER_EXACT_MODEL,MANUFACTURER_EXACT_MODEL,https://www.bobgear.com/accessories/single-jogging-stroller-adapter-graco-infant-car-seats,BOB Single Graco adapter (All SnugRide),January 2025,ADAPTER,true,SOLD_SEPARATELY,BOB Single Graco adapter (All SnugRide),S12045400,https://www.bobgear.com/accessories/single-jogging-stroller-adapter-graco-infant-car-seats,,,,,,COMPATIBLE_WITH_ADAPTER,MANUFACTURER_EXACT,,https://www.bobgear.com/accessories/single-jogging-stroller-adapter-graco-infant-car-seats,NONE,
cmrjw4aqn000wy3w4cvdubkmp,BOB,Revolution Flex 3.0,Maxi-Cosi,Ambra,ADAPTER,REMOVE,HIGH,Not on BOB's exact adapter list for Revolution Flex 3.0. Newer/again-named seat not enumerated on the current chart.,MANUFACTURER_EXACT_MODEL,MANUFACTURER_EXACT_MODEL,https://www.bobgear.com/accessories/single-jogging-stroller-adapter-for-select-britax-infant-car-seats,BOB Single Britax ClickTight adapter,January 2025,,,,,,,,,,,,UNKNOWN,NONE,,,NONE,
cmrjw4aqo000zy3w4qqyd8kgc,BOB,Revolution Flex 3.0,Maxi-Cosi,Mico Luxe,ADAPTER,REMOVE,HIGH,Not on BOB's exact adapter list for Revolution Flex 3.0. Newer/again-named seat not enumerated on the current chart.,MANUFACTURER_EXACT_MODEL,MANUFACTURER_EXACT_MODEL,https://www.bobgear.com/accessories/single-jogging-stroller-adapter-for-select-britax-infant-car-seats,BOB Single Britax ClickTight adapter,January 2025,,,,,,,,,,,,UNKNOWN,NONE,,,SUSPECTED_SHARED_ATTACHMENT_PLATFORM,
cmrjw4aqn000xy3w4wkeztab7,BOB,Revolution Flex 3.0,Maxi-Cosi,Mico Pro,ADAPTER,REMOVE,HIGH,Not on BOB's exact adapter list for Revolution Flex 3.0. Newer/again-named seat not enumerated on the current chart.,MANUFACTURER_EXACT_MODEL,MANUFACTURER_EXACT_MODEL,https://www.bobgear.com/accessories/single-jogging-stroller-adapter-for-select-britax-infant-car-seats,BOB Single Britax ClickTight adapter,January 2025,,,,,,,,,,,,UNKNOWN,NONE,,,SUSPECTED_SHARED_ATTACHMENT_PLATFORM,
cmrjw4aqn000uy3w4l9lj5rdf,BOB,Revolution Flex 3.0,Maxi-Cosi,Peri 180,ADAPTER,REMOVE,HIGH,Not on BOB's exact adapter list for Revolution Flex 3.0. Newer/again-named seat not enumerated on the current chart.,MANUFACTURER_EXACT_MODEL,MANUFACTURER_EXACT_MODEL,https://www.bobgear.com/accessories/single-jogging-stroller-adapter-for-select-britax-infant-car-seats,BOB Single Britax ClickTight adapter,January 2025,,,,,,,,,,,,UNKNOWN,NONE,,,NONE,
cmr0r9uh2001trvv09b2v12do,BOB,Revolution Flex 3.0,Nuna,PIPA Aire,ADAPTER,REMOVE,HIGH,Not on BOB's exact adapter list for Revolution Flex 3.0. Newer/again-named seat not enumerated on the current chart.,MANUFACTURER_EXACT_MODEL,MANUFACTURER_EXACT_MODEL,https://www.bobgear.com/accessories/cybex-maxi-cosi-nuna-single-infant-car-seat-adapter-2021,BOB Single Cybex/Maxi-Cosi/Nuna adapter,January 2025,,,,,,,,,,,,UNKNOWN,NONE,,,SUSPECTED_SHARED_ATTACHMENT_PLATFORM,
bob-revolution-flex-3__nuna-pipa-aire-rx,BOB,Revolution Flex 3.0,Nuna,PIPA Aire rx,ADAPTER,REMOVE,HIGH,Not on BOB's exact adapter list for Revolution Flex 3.0. Newer/again-named seat not enumerated on the current chart.,MANUFACTURER_EXACT_MODEL,MANUFACTURER_EXACT_MODEL,https://www.bobgear.com/accessories/cybex-maxi-cosi-nuna-single-infant-car-seat-adapter-2021,BOB Single Cybex/Maxi-Cosi/Nuna adapter,January 2025,,,,,,,,,,,,UNKNOWN,NONE,,,SUSPECTED_SHARED_ATTACHMENT_PLATFORM,
