chart_brand_group,chart_seat_verbatim,chart_adapter_sku,classification,production_seat,frozen_row_status,note
Maxi Cosi,Mico Max 30,S14664700 / S12046000 (mid),CATALOGUE_GAP,—,no row,Not stocked. Production Maxi-Cosi (Ambra/Mico Luxe/Mico Pro/Peri 180) are absent from chart -> those rows REMOVE confirmed.
Maxi Cosi,Mico Max Plus,S14664700 / S12046000 (mid),CATALOGUE_GAP,—,no row,Not stocked. Production Maxi-Cosi (Ambra/Mico Luxe/Mico Pro/Peri 180) are absent from chart -> those rows REMOVE confirmed.
Maxi Cosi,Coral XP,S14664700 / S12046000 (mid),CATALOGUE_GAP,—,no row,Not stocked. Production Maxi-Cosi (Ambra/Mico Luxe/Mico Pro/Peri 180) are absent from chart -> those rows REMOVE confirmed.
Nuna,Pipa,S14664700 / S12046000 / S14685500,CATALOGUE_GAP,—,no row,Not stocked as such. Production Nuna (PIPA Aire/Aire rx/RX/urbn) are NOT these (PIPA RX != Pipa RX Lite) -> those rows REMOVE confirmed.
Nuna,Pipa Lite,S14664700 / S12046000 / S14685500,CATALOGUE_GAP,—,no row,Not stocked as such. Production Nuna (PIPA Aire/Aire rx/RX/urbn) are NOT these (PIPA RX != Pipa RX Lite) -> those rows REMOVE confirmed.
Nuna,Pipa RX Lite,S14664700 / S12046000 / S14685500,CATALOGUE_GAP,—,no row,Not stocked as such. Production Nuna (PIPA Aire/Aire rx/RX/urbn) are NOT these (PIPA RX != Pipa RX Lite) -> those rows REMOVE confirmed.
Cybex,Aton 2,S14664700 / S12046000 / (S14685500 for Aton2/CloudQ/AtonQ),CATALOGUE_GAP,—,no row,"Legacy Cybex. Production Cybex (Aton G2/G2 Swivel/Cloud T/Cloud G Pro) absent from chart -> REMOVE confirmed. Chart ""Cloud Q"" != production ""Cloud T""."
Cybex,Cloud Q,S14664700 / S12046000 / (S14685500 for Aton2/CloudQ/AtonQ),CATALOGUE_GAP,—,no row,"Legacy Cybex. Production Cybex (Aton G2/G2 Swivel/Cloud T/Cloud G Pro) absent from chart -> REMOVE confirmed. Chart ""Cloud Q"" != production ""Cloud T""."
Cybex,Aton Q,S14664700 / S12046000 / (S14685500 for Aton2/CloudQ/AtonQ),CATALOGUE_GAP,—,no row,"Legacy Cybex. Production Cybex (Aton G2/G2 Swivel/Cloud T/Cloud G Pro) absent from chart -> REMOVE confirmed. Chart ""Cloud Q"" != production ""Cloud T""."
Cybex,Aton M,S14664700 / S12046000 / (S14685500 for Aton2/CloudQ/AtonQ),CATALOGUE_GAP,—,no row,"Legacy Cybex. Production Cybex (Aton G2/G2 Swivel/Cloud T/Cloud G Pro) absent from chart -> REMOVE confirmed. Chart ""Cloud Q"" != production ""Cloud T""."
Chicco,KeyFit 30,S12045900 (Alterrain Pro..Sports Utility),EXACT_CANONICAL_MATCH,Chicco KeyFit 30,"KEEP (Rev Flex 3.0); ADD_CANDIDATE (Alterrain Pro, Rambler)","Jan 2024 chart names ""KeyFit 30"" (exact match to production KeyFit 30). It does NOT name ""KeyFit 30 ClearTex"" — that variant's KEEP rests on separate newer/current first-party BOB evidence, NOT this Jan 2024 chart. Chart adapter spans mid single strollers (not Wayfinder/Renegade)."
Chicco,KeyFit 30 Zip,S12045900 (mid),CATALOGUE_GAP,—,no row,"Not stocked. Production KeyFit Max variants are NOT on chart -> REMOVE confirmed (no ""KeyFit Max"" line)."
Chicco,KeyFit 35,S12045900 (mid),CATALOGUE_GAP,—,no row,"Not stocked. Production KeyFit Max variants are NOT on chart -> REMOVE confirmed (no ""KeyFit Max"" line)."
Chicco,KeyFit Zip Air,S12045900 (mid),CATALOGUE_GAP,—,no row,"Not stocked. Production KeyFit Max variants are NOT on chart -> REMOVE confirmed (no ""KeyFit Max"" line)."
Chicco,KeyFit Magic,S12045900 (mid),CATALOGUE_GAP,—,no row,"Not stocked. Production KeyFit Max variants are NOT on chart -> REMOVE confirmed (no ""KeyFit Max"" line)."
Chicco,Fit2,S12045900 (mid),CATALOGUE_GAP,—,no row,"Not stocked. Production KeyFit Max variants are NOT on chart -> REMOVE confirmed (no ""KeyFit Max"" line)."
Peg Perego,Primo Viaggio 4-35,S12045500 (mid),EXACT_CANONICAL_MATCH,Peg Perego Primo Viaggio 4-35,"KEEP (Rev Flex 3.0); ADD_CANDIDATE (Alterrain Pro, Rambler)",Frozen KEEP validated.
Peg Perego,4-35 Nido,S12045500 (mid),EXACT_CANONICAL_MATCH,Peg Perego Primo Viaggio Nido,KEEP confirmed (Rev Flex 3.0),"Validated. Production ""Primo Viaggio Lounge"" is NOT on chart -> REMOVE confirmed."
Peg Perego,Primo Viaggio,S12045500 (mid),CATALOGUE_GAP,—,no row,"Plain ""Primo Viaggio"" not distinctly stocked."
UPPAbaby,MESA,S12046600 (mid),IDENTITY_REVIEW_REQUIRED,UPPAbaby Mesa V3 (?),REMOVE held,"Chart says generic ""MESA""; production has ""Mesa V3"" (+ Aria/Aria V2). Not an explicit version/""(all models)"" match -> conservatively REMOVE held (no flip). Aria/Aria V2 absent from chart -> REMOVE confirmed."
