id,brand,model,displayName,summary,amazonUrl,manualBabylistUrl,imageUrl,babylistSku,babylistUrl,babylistPrice,babylistImage,createdAt,updatedAt
cmqpqqwyc00057qllcxfjsi2l,Baby Jogger,City Tour 2 Double,Baby Jogger City Tour 2 Double,"The ultra-compact travel double — lightweight, easy compact fold, near-flat recline from birth, 45 lb per seat. Great for trips, though a double is too big for the overhead bin.",,,,product_8981_184757,https://babylist.pxf.io/c/6560395/1160375/13580?prodsku=184757&u=https%3A%2F%2Fwww.babylist.com%2Fgp%2Fbaby-jogger-city-tour-2-double-stroller%2F15025%2F184757&intsrc=CATF_8981,499.99,https://images.ctfassets.net/50gzycvace50/328b9c9a5e39afee3b3f842fb8fb26b3295d3e4fd499e3d0d37fca9249b183aa/860874cb071dbeb06c399552678ae683/328b9c9a5e39afee3b3f842fb8fb26b3295d3e4fd499e3d0d37fca9249b183aa.png?fl=progressive&fm=jpg&bg=rgb:fafafa&w=620&h=620,2026-06-22 21:42:11.028,2026-07-20 22:06:22.043
baby-jogger-summit-x3,Baby Jogger,Summit X3,Baby Jogger Summit X3,"Baby Jogger’s real running stroller: 12""/16"" air tires, all-wheel suspension, hand-operated deceleration brake and lockable front wheel. 28.5 lb, one-hand fold, up to 75 lb. From birth with an infant seat.",,,,product_8981_1563137,https://babylist.pxf.io/c/6560395/1160375/13580?prodsku=1563137&u=https%3A%2F%2Fwww.babylist.com%2Fgp%2Fbaby-jogger-summit-x3-double-stroller%2F11862%2F1563137&intsrc=APIG_8981,799.99,https://images.ctfassets.net/50gzycvace50/f650f8f45e1290dc892021c0307240397667b31c2b5308445d0604037555de9c/acc787cf8883191fdd26977138853e86/f650f8f45e1290dc892021c0307240397667b31c2b5308445d0604037555de9c.png?fl=progressive&fm=jpg&bg=rgb:fafafa&w=620&h=620,2026-06-15 20:33:14.735,2026-07-20 22:06:22.051
cmqx8d2qs000113kpyh2zxwjx,Baby Jogger,Summit X3 Double,Baby Jogger Summit X3 Double,"A true all-terrain jogging double — air-filled tires, all-wheel suspension, hand-operated deceleration brake and a lockable front wheel for runs. One-hand fold, 50 lb per seat.",,,,public_catalog_babyjogger|summitx3double,https://babylist.pxf.io/c/6560395/1160375/13580?prodsku=1563137&u=https%3A%2F%2Fwww.babylist.com%2Fgp%2Fbaby-jogger-summit-x3-double-stroller%2F11862%2F1563137&intsrc=CATF_8981,799.99,https://images.ctfassets.net/50gzycvace50/f650f8f45e1290dc892021c0307240397667b31c2b5308445d0604037555de9c/acc787cf8883191fdd26977138853e86/f650f8f45e1290dc892021c0307240397667b31c2b5308445d0604037555de9c.png?fl=progressive&fm=jpg&bg=rgb:fafafa&w=620&h=620,2026-06-28 03:29:41.668,2026-07-20 22:06:22.058
cms532d390000fa3sxcfko9z9,Baby Jogger,Summit X3 Single,Baby Jogger Summit X3 Single,,,,,,,,,2026-07-28 20:03:15.526,2026-07-28 20:03:15.526
cmqpqqx5f00087qll6393izdt,Baby Jogger,Summit X3 Single Jogging,Baby Jogger Summit X3 Single Jogging,"Baby Jogger’s real running stroller: 12""/16"" air tires, all-wheel suspension, hand-operated deceleration brake and lockable front wheel. 28.5 lb, one-hand fold, up to 75 lb. From birth with an infant seat.",,,,product_8981_1563136,https://babylist.pxf.io/c/6560395/1160375/13580?prodsku=1563136&u=https%3A%2F%2Fwww.babylist.com%2Fgp%2Fbaby-jogger-summit-x3-single-stroller%2F11309%2F1563136&intsrc=CATF_8981,549.99,https://images.ctfassets.net/50gzycvace50/fc316b3b4446142c6cebef532cab7a3a55fe3a10dcce26f56eba0e9e83c817bd/97fc712c00e8062a5acb44e5b324a04f/fc316b3b4446142c6cebef532cab7a3a55fe3a10dcce26f56eba0e9e83c817bd.png?fl=progressive&fm=jpg&bg=rgb:fafafa&w=620&h=620,2026-06-22 21:42:11.283,2026-07-20 22:06:22.074
cmqpqqx7s00097qllgw33pm0i,Baby Trend,Expedition 2-in-1,Baby Trend Expedition 2-in-1,"Baby Trend’s convertible stroller wagon: a hideaway pull handle flips it between push and pull, with built-in seating for two, a UPF 50+ ratcheting canopy and a compact flat fold. 55 lb per seat (110 lb total). Note: it starts at 6 months — riders must sit up unassisted, so this is not a from-birth stroller.",,,,product_8981_1103802,https://babylist.pxf.io/c/6560395/1160375/13580?prodsku=1103802&u=https%3A%2F%2Fwww.babylist.com%2Fgp%2Fbaby-trend-expedition-2-in-1-stroller-wagon-plus%2F24777%2F1103802&intsrc=CATF_8981,324.99,https://images.ctfassets.net/50gzycvace50/f733a490607cea1675f5c7cd466f2967d0ec1b765cbc8a70dd562f7c34d32b3f/87047b75722253cd4d23fa28b1fb794b/f733a490607cea1675f5c7cd466f2967d0ec1b765cbc8a70dd562f7c34d32b3f.png?fl=progressive&fm=jpg&bg=rgb:fafafa&w=620&h=620,2026-06-22 21:42:11.369,2026-07-20 22:06:22.085
cmqx8m2mu000010nue3nlua93,Baby Trend,Expedition Zero Flat Jogger with LED Lights,Baby Trend Expedition Zero Flat Jogger with LED Lights,"Baby Trend’s budget flat-fold jogger: Zero Flat never-go-flat all-terrain bicycle tires, a locking swivel front wheel, multi-position recline, LED side lights and a trigger fold. Holds up to 50 lb (or 42"" tall), and takes a Baby Trend infant seat from birth. A capable jogger that won’t break the bank.",,,,public_catalog_babytrend|expeditionzeroflatjoggerwithledlights,https://babylist.pxf.io/c/6560395/1160375/13580?prodsku=2214107&u=https%3A%2F%2Fwww.babylist.com%2Fgp%2Fbaby-trend-expedition-zero-flat-jogger-with-led-lights%2F64700%2F2214107&intsrc=CATF_8981,179.99,https://images.ctfassets.net/50gzycvace50/90855a21b1ed720aa9f41c5f9a6dff041b5950028ae9e55fab54f34afbeed785/16a9b5ce7d624a77206539632b1a53dc/90855a21b1ed720aa9f41c5f9a6dff041b5950028ae9e55fab54f34afbeed785.png?fl=progressive&fm=jpg&bg=rgb:fafafa&w=620&h=620,2026-06-28 03:36:41.431,2026-07-20 22:06:22.095
cmqx8d2y6000413kpljiz2u0c,Bellini,Juno Auto-Folding,Bellini Juno Auto-Folding,"Bellini’s auto-folding compact: folds and unfolds with one hand and auto-locks when closed, at just 17 lb, on airless puncture-proof wheels with 4-wheel suspension. Two caveats worth knowing — it starts at 9 months (not from birth), and the basket is rated for only 3 lb.",,,,public_catalog_bellini|junoautofolding,https://babylist.pxf.io/c/6560395/1160375/13580?prodsku=2214395&u=https%3A%2F%2Fwww.babylist.com%2Fgp%2Fbellini-juno-compact-auto-folding-stroller%2F64777%2F2214395&intsrc=CATF_8981,479.99,https://images.ctfassets.net/50gzycvace50/4fccdbe37b04b9a9db2e56c822ac47306d04e6bb00da332087ffe833244a94d5/d8d2b3541007c42cfc7f0aa708c44497/4fccdbe37b04b9a9db2e56c822ac47306d04e6bb00da332087ffe833244a94d5.png?fl=progressive&fm=jpg&bg=rgb:fafafa&w=620&h=620,2026-06-28 03:29:41.934,2026-07-20 22:06:22.105
bob-alterrain-pro,BOB,Alterrain Pro,BOB Alterrain Pro,"BOB’s premium all-weather jogger: SmoothShox suspension, air-filled tires and a water-repellent canopy, 32.3 lb and up to 75 lb. The plushest ride BOB makes, for parents who actually run.",,,,,,,,2026-06-13 20:48:32.697,2026-07-20 22:06:22.122
bob-rambler,BOB,Rambler,BOB Rambler,"The lightest, most affordable way into BOB: 25 lb, up to 75 lb, air-filled tires and a locking front wheel. Fewer bells than the Revolution, same jogging bones.",,,,,,,,2026-03-22 17:19:43.856,2026-07-20 22:06:22.129
bob-renegade-wagon,BOB,Renegade Wagon,BOB Renegade Wagon,"BOB’s all-terrain stroller wagon: push or pull, 55 lb per seat and 165 lb total including cargo, on a rugged 40 lb frame. Built for trailheads and long park days — riders need to sit up on their own, so it is not from birth.",,,,,,,,2026-03-22 17:19:43.856,2026-07-20 22:06:22.141
bob-revolution-flex-3,BOB,Revolution Flex 3.0,BOB Revolution Flex 3.0,"The benchmark running stroller: 28 lb, up to 75 lb, air-filled tires, adjustable handlebar and a locking swivel front wheel you flip open for runs. Takes an infant car seat with an adapter, so it works from birth.",,,,,,,,2026-03-22 17:19:43.856,2026-07-20 22:06:22.15
bob-revolution-flex-duallie-3,BOB,Revolution Flex 3.0 Duallie,BOB Revolution Flex 3.0 Duallie,"BOB’s side-by-side jogging double: air-filled tires, adjustable suspension, a hand brake for hills and the same trail-ready build as the single. 50 lb per seat, and it still fits through a standard doorway.",,,,,,,,2026-03-22 17:19:43.856,2026-07-20 22:06:22.158
bob-wayfinder,BOB,Wayfinder,BOB Wayfinder,"BOB’s newer jogger with independent dual suspension and air-filled tires, 31.1 lb and up to 75 lb. A smoother, more modern take on the Revolution formula.",,,,,,,,2026-03-22 17:19:43.856,2026-07-20 22:06:22.164
cmrdx44lf00001sxj80plzl5e,Bombi,Bēbee Twin V2,Bombi Bēbee Twin V2,"Bombi’s lightweight side-by-side double: one-hand fold, deep recline and 55 lb per seat (110 lb total), on a narrow frame built to clear standard doorways. A rare folding double that travels well.",,,,,,,https://bombigear.com/cdn/shop/files/Dual_Green_zipped_b661970f-ccdf-4cb9-9bf7-0570a89c97f7.jpg?height=1024&v=1773170721&width=1024,2026-07-09 19:46:53.379,2026-07-20 22:06:22.179
cmr4c3kvd0003n624f7jarr1e,Bombi,Bēbee V3,Bombi Bēbee V3,"A 16 lb compact that punches above its price: built-in newborn cocoon and a flat recline so it works from birth, one-hand fold, XXL canopy and up to 55 lb. Ships with a travel bag and is Disney-friendly — but it is too big for an airplane overhead bin.",https://www.amazon.com/Bombi-B%C4%93bee-V2-Lightweight-Stroller/dp/B0DX8BW2Z2?linkCode=ll1&tag=taylormadebab-20&language=en_US&ref_=as_li_ss_tl,,,,,,https://bombigear.com/cdn/shop/files/V3_black_zipped.png?height=1024&v=1775245744&width=1024,2026-07-03 02:48:40.297,2026-07-20 22:06:22.189
britax-b-clever,Britax,B-Clever,Britax B-Clever,"The narrower, more compact Britax: 21 lb, up to 50 lb, one-hand fold, ventilated seat and all-wheel suspension. Takes a B-Safe infant seat from birth.",,,,,,,,2026-06-15 20:33:14.735,2026-07-20 22:06:22.199
britax-b-lively,Britax,B-Lively,Britax B-Lively,"The everyday Britax workhorse: 20 lb, up to 55 lb, one-hand fold, all-wheel suspension and a big UV50+ canopy. Clicks straight onto a B-Safe infant seat, so it works from birth.",,,,,,,,2026-06-15 20:33:14.735,2026-07-20 22:06:22.206
cmqx8d30k000513kpwtvwppgv,Britax,Brook+ Modular Baby,Britax Brook+ Modular Baby,"Britax’s ultra-lightweight modular — four ways to stroll with a SafeWash insert, usable from birth up to 50 lb. The easy-living option in the modular line.",,,,,,,,2026-06-28 03:29:42.021,2026-07-20 22:06:22.214
cmqpqqxci000b7qllamksybtj,Britax,Grove Modular,Britax Grove Modular,"A lightweight modular with six ways to ride: CozyFit insert for the newborn stage, bumper bar, SafeWash fabrics and a 24 lb frame. Up to 50 lb.",,,,product_8981_1791046,https://babylist.pxf.io/c/6560395/1160375/13580?prodsku=1791046&u=https%3A%2F%2Fwww.babylist.com%2Fgp%2Fbritax-grove-modular-stroller%2F45771%2F1791046&intsrc=CATF_8981,379.99,https://images.ctfassets.net/50gzycvace50/03ed839eb8aa708b881fb6a29a22cd2fb5a5576d38f6411216eafd78132ec992/4ba1e021240648e98750140753328c43/03ed839eb8aa708b881fb6a29a22cd2fb5a5576d38f6411216eafd78132ec992.png?fl=progressive&fm=jpg&bg=rgb:fafafa&w=620&h=620,2026-06-22 21:42:11.539,2026-07-20 22:06:22.224
cmqx8d330000613kpkfkfo7ak,Britax,Juniper On-The-Go,Britax Juniper On-The-Go,"Britax’s on-the-go compact: under 15 lb with a FastPack system, one-hand RapidFold, built-in carry handle and a UPF 50+ water-resistant canopy. Up to 50 lb.",,,,,,,,2026-06-28 03:29:42.109,2026-07-20 22:06:22.236
cmqpqqxey000c7qll5fop3oe7,Britax,Prism Modular,Britax Prism Modular,"Britax’s full-size modular: six ways to ride, a one-step compact fold, telescoping handlebar, all-wheel suspension and an all-season insert so it works from birth. 24.4 lb, up to 50 lb.",,,,product_8981_3316787,https://babylist.pxf.io/c/6560395/1160375/13580?prodsku=3316787&u=https%3A%2F%2Fwww.babylist.com%2Fgp%2Fbritax-prism-modular-stroller%2F83869%2F3316787&intsrc=CATF_8981,479.99,https://images.ctfassets.net/50gzycvace50/909bf1a26d9e0e37bd7eb32303999ae6d4a4de90ddc7feeaab6cae6e3ca3aa94/f5399a243a3adbb7c2992a691f8a5ece/909bf1a26d9e0e37bd7eb32303999ae6d4a4de90ddc7feeaab6cae6e3ca3aa94.png?fl=progressive&fm=jpg&bg=rgb:fafafa&w=620&h=620,2026-06-22 21:42:11.627,2026-07-20 22:06:22.244
bugaboo-ant,Bugaboo,Ant,Bugaboo Ant,"Bugaboo’s lightest, most compact: 15.8 lb, folds to 20.6 x 14.9 x 9.1"" — small enough for an overhead bin — with a 6.6 lb under-seat basket plus an 11 lb rear luggage basket. Up to 50 lb; the seat starts at 6 months.",,,,,,,,2026-06-15 20:33:14.735,2026-07-20 22:06:22.254
bugaboo-butterfly,Bugaboo,Butterfly,Bugaboo Butterfly,"Bugaboo’s 16 lb cabin-size travel stroller: folds one-handed into an IATA carry-on-compatible package that genuinely fits an overhead bin. Up to 48 lb — but the seat starts at 6 months, so it is not a from-birth stroller.",,,,product_8981_2491084,https://babylist.pxf.io/c/6560395/1160375/13580?prodsku=2491084&u=https%3A%2F%2Fwww.babylist.com%2Fgp%2Fbugaboo-butterfly-2-complete-stroller%2F74320%2F2491084&intsrc=APIG_8981,599,https://images.ctfassets.net/50gzycvace50/2acab943619f5c06efcbab3ac3eb89fd798436018bfef59f68c7a86efa4cd68c/249ce3a4fb097da29329781713d9dcb9/2acab943619f5c06efcbab3ac3eb89fd798436018bfef59f68c7a86efa4cd68c.png?fl=progressive&fm=jpg&bg=rgb:fafafa&w=620&h=620,2026-03-22 03:02:28.613,2026-07-20 22:06:22.264
bugaboo-butterfly-2,Bugaboo,Butterfly 2,Bugaboo Butterfly 2,"Bugaboo’s 16 lb cabin-size travel stroller: folds one-handed into an IATA carry-on-compatible package that genuinely fits an overhead bin. Up to 48 lb — but the seat starts at 6 months, so it is not a from-birth stroller.",,,,product_8981_2491084,https://babylist.pxf.io/c/6560395/1160375/13580?prodsku=2491084&u=https%3A%2F%2Fwww.babylist.com%2Fgp%2Fbugaboo-butterfly-2-complete-stroller%2F74320%2F2491084&intsrc=APIG_8981,599,https://images.ctfassets.net/50gzycvace50/2acab943619f5c06efcbab3ac3eb89fd798436018bfef59f68c7a86efa4cd68c/249ce3a4fb097da29329781713d9dcb9/2acab943619f5c06efcbab3ac3eb89fd798436018bfef59f68c7a86efa4cd68c.png?fl=progressive&fm=jpg&bg=rgb:fafafa&w=620&h=620,2026-06-13 20:48:32.697,2026-07-20 22:06:22.271
cmqx8d37p000813kp2s8z32r8,Bugaboo,Donkey 5 Mono Single-to-Double,Bugaboo Donkey 5 Mono Single-to-Double,"Bugaboo’s single-to-double: starts as a roomy single with a bassinet, then slides out to side-by-side twin duty without changing the frame. About 33 lb with the seat, 48 lb per seat, and a cavernous basket.",,,,,,,,2026-06-28 03:29:42.278,2026-07-20 22:06:22.277
bugaboo-donkey-6,Bugaboo,Donkey 6,Bugaboo Donkey 6,"Bugaboo’s single-to-double: starts as a roomy single with a bassinet, then slides out to side-by-side twin duty without changing the frame. About 33 lb with the seat, 48 lb per seat, and a cavernous basket.",,,,product_8981_2903105,https://babylist.pxf.io/c/6560395/1160375/13580?prodsku=2903105&u=https%3A%2F%2Fwww.babylist.com%2Fgp%2Fbugaboo-donkey-6-stroller%2F80444%2F2903105&intsrc=APIG_8981,1699,https://images.ctfassets.net/50gzycvace50/23dbc164314c5b091f701514d8297ac07988fc1275e1bddfd4cec859e8523616/8f57ae576786d157d48a4e5c181418d7/23dbc164314c5b091f701514d8297ac07988fc1275e1bddfd4cec859e8523616.png?fl=progressive&fm=jpg&bg=rgb:fafafa&w=620&h=620,2026-03-22 03:02:28.613,2026-07-20 22:06:22.284
bugaboo-dragonfly,Bugaboo,Dragonfly,Bugaboo Dragonfly,"The city modular: bassinet and seat on a light 21 lb frame with a compact fold and a genuinely big 22 lb basket. Up to 48 lb, from birth with the included bassinet.",,,,,,,,2026-03-22 17:19:43.856,2026-07-20 22:06:22.295
cmr2vgyqo0006ea9ukrzht5sg,Bugaboo,Dragonfly Plus,Bugaboo Dragonfly Plus,"The city modular: bassinet and seat on a light 21 lb frame with a compact fold and a genuinely big 22 lb basket. Up to 48 lb, from birth with the included bassinet.",,,,,,,,2026-07-02 02:15:25.153,2026-07-20 22:06:22.303
bugaboo-fox-5,Bugaboo,Fox 5,Bugaboo Fox 5,"Bugaboo’s flagship all-terrain 2-in-1: bassinet and seat in the box, one-hand fold, big wheels and premium suspension. Around 24 lb, up to 50 lb on the seat. The plush, buy-once option.",,,,product_8981_2487974,https://babylist.pxf.io/c/6560395/1160375/13580?prodsku=2487974&u=https%3A%2F%2Fwww.babylist.com%2Fgp%2Fbugaboo-fox-5-renew-complete-stroller-bassinet%2F71205%2F2487974&intsrc=APIG_8981,1499,https://images.ctfassets.net/50gzycvace50/dd4dd311bededff89bbb5c33536a5964c205f4bfe8cdd5fe3ff6626aaee4ca22/439f099d850eefad9a85a8f663756ac2/dd4dd311bededff89bbb5c33536a5964c205f4bfe8cdd5fe3ff6626aaee4ca22.png?fl=progressive&fm=jpg&bg=rgb:fafafa&w=620&h=620,2026-03-22 03:02:28.613,2026-07-20 22:06:22.313
bugaboo-kangaroo,Bugaboo,Kangaroo,Bugaboo Kangaroo,Compact city stroller with adapter-based infant seat compatibility,,,,product_8981_2927288,https://babylist.pxf.io/c/6560395/1160375/13580?prodsku=2927288&u=https%3A%2F%2Fwww.babylist.com%2Fgp%2Fbugaboo-kangaroo-stroller%2F80467%2F2927288&intsrc=APIG_8981,1099,https://images.ctfassets.net/50gzycvace50/0e4bfd9708744716e634892649dc7dff768a8ab9c65d7adf039ee7f79dc0c81f/43311ca9b6c6871e2c717f396488f524/0e4bfd9708744716e634892649dc7dff768a8ab9c65d7adf039ee7f79dc0c81f.png?fl=progressive&fm=jpg&bg=rgb:fafafa&w=620&h=620,2026-06-13 20:48:32.697,2026-06-21 03:51:58.685
bumbleride-era,Bumbleride,Era,Bumbleride Era,"The reversible-seat city stroller that is ready from birth with no attachments — the seat itself lays flat and infant-safe. 27 lb, up to 55 lb, all-wheel suspension and air-filled tires.",,,,product_8981_2072902,https://babylist.pxf.io/c/6560395/1160375/13580?prodsku=2072902&u=https%3A%2F%2Fwww.babylist.com%2Fgp%2Fbumbleride-era-stroller%2F37542%2F2072902&intsrc=APIG_8981,949,https://images.ctfassets.net/50gzycvace50/cdae9ba2abf4318f6d8a086a757e0f693cb3e41d7326f1edea94f36109e890c8/2361f6b7fc644a1d815edbba8e8024f5/cdae9ba2abf4318f6d8a086a757e0f693cb3e41d7326f1edea94f36109e890c8.png?fl=progressive&fm=jpg&bg=rgb:fafafa&w=620&h=620,2026-03-22 17:19:43.856,2026-07-20 22:06:22.323
