catalogId,title,brand,model,action,reason,url
cmqx4jcd700333a8uryuciio5,"Britax - Willow S Infant Car Seat with Alpine Anti-Rebound Base, Glacier Onyx",Britax,Willow S,skip-existing,canonical infant car seat already exists,https://www.macrobaby.com/products/britax-willow-s-infant-car-seat-with-alpine-anti-rebound-base-glacier-onyx?_j=taylormadebabyco.com
cmqx4j7ba001i3a8ub00c7ep2,"Britax - Willow S Infant Car Seat with Alpine Anti-Rebound Base, Graphite Onyx",Britax,Willow S,skip-existing,canonical infant car seat already exists,https://www.macrobaby.com/products/britax-willow-s-infant-car-seat-with-alpine-anti-rebound-base-graphite-onyx?_j=taylormadebabyco.com
cmqx4jggd004c3a8ukk9q4kkt,"Britax - Willow S Infant Car Seat with Alpine Anti-Rebound Base, Jade Onyx",Britax,Willow S,skip-existing,canonical infant car seat already exists,https://www.macrobaby.com/products/britax-willow-s-infant-car-seat-with-alpine-anti-rebound-base-jade-onyx?_j=taylormadebabyco.com
cmqx4jh8j004l3a8ulsnb6vqb,"Britax - Willow S Infant Car Seat with Alpine Anti-Rebound Base, Ruby Onyx",Britax,Willow S,skip-existing,canonical infant car seat already exists,https://www.macrobaby.com/products/britax-willow-s-infant-car-seat-with-alpine-anti-rebound-base-ruby-onyx?_j=taylormadebabyco.com
cmqx4j4wu000r3a8uabayt4yq,Bugaboo - Turtle Air Shield by Nuna Car Seat,Bugaboo,Turtle Air Shield by Nuna,skip-existing,canonical infant car seat already exists,https://www.macrobaby.com/products/bugaboo-turtle-air-shield-by-nuna-car-seat?_j=taylormadebabyco.com
cmqphnax7027ldqwrjc6yk6vi,Bugaboo Turtle Air Shield by Nuna Car Seat + Recline Base | 100% Polyester,Bugaboo,Turtle Air Shield by Nuna,update-existing-retailer,canonical infant car seat already exists; Babylist retailer fields were empty and have been backfilled,https://babylist.pxf.io/c/6560395/1160375/13580?prodsku=2116047&u=https%3A%2F%2Fwww.babylist.com%2Fgp%2Fbugaboo-turtle-air-shield-by-nuna-car-seat-recline-base%2F56787%2F2116047&intsrc=CATF_8981
cmqphrte103mfdqwr5bscfz7l,Chicco KeyFit 30 ClearTex Infant Car Seat in Pewter,Chicco,KeyFit 30 ClearTex,update-existing-retailer,canonical infant car seat already exists; Babylist retailer fields were empty and have been backfilled,https://babylist.pxf.io/c/6560395/1160375/13580?prodsku=1101932&u=https%3A%2F%2Fwww.babylist.com%2Fgp%2Fchicco-keyfit-30-cleartex-infant-car-seat%2F24729%2F1101932&intsrc=CATF_8981
cmqphru6003modqwrxz4nyijn,Chicco KeyFit Max ClearTex Infant Car Seat in Legend,Chicco,KeyFit Max ClearTex,update-existing-retailer,canonical infant car seat already exists; Babylist retailer fields were empty and have been backfilled,https://babylist.pxf.io/c/6560395/1160375/13580?prodsku=2383558&u=https%3A%2F%2Fwww.babylist.com%2Fgp%2Fchicco-keyfit-max-cleartex-infant-car-seat%2F71751%2F2383558&intsrc=CATF_8981
cmqphrufb03mrdqwrabkl1za2,Chicco KeyFit Max ClearTex Infant Car Seat in Lupine,Chicco,KeyFit Max ClearTex,skip-existing,canonical infant car seat already exists,https://babylist.pxf.io/c/6560395/1160375/13580?prodsku=2383559&u=https%3A%2F%2Fwww.babylist.com%2Fgp%2Fchicco-keyfit-max-cleartex-infant-car-seat%2F71751%2F2383559&intsrc=CATF_8981
cmqphrv8c03n0dqwr55o5mhg3,Chicco KeyFit Max Zip ClearLux Infant Car Seat in Midori,Chicco,KeyFit Max Zip ClearLux,update-existing-retailer,canonical infant car seat already exists; Babylist retailer fields were empty and have been backfilled,https://babylist.pxf.io/c/6560395/1160375/13580?prodsku=2383554&u=https%3A%2F%2Fwww.babylist.com%2Fgp%2Fchicco-keyfit-max-zip-clearlux-infant-car-seat%2F71749%2F2383554&intsrc=CATF_8981
cmqphruyj03mxdqwrr4k2rd7m,Chicco KeyFit Max Zip ClearLux Infant Car Seat in Verona,Chicco,KeyFit Max Zip ClearLux,skip-existing,canonical infant car seat already exists,https://babylist.pxf.io/c/6560395/1160375/13580?prodsku=2383553&u=https%3A%2F%2Fwww.babylist.com%2Fgp%2Fchicco-keyfit-max-zip-clearlux-infant-car-seat%2F71749%2F2383553&intsrc=CATF_8981
cmqphrvhn03n3dqwr8e0nflx6,Chicco KeyFit Max Zip ClearTex Infant Car Seat in Apex,Chicco,KeyFit Max Zip ClearTex,update-existing-retailer,canonical infant car seat already exists; Babylist retailer fields were empty and have been backfilled,https://babylist.pxf.io/c/6560395/1160375/13580?prodsku=2383555&u=https%3A%2F%2Fwww.babylist.com%2Fgp%2Fchicco-keyfit-max-zip-cleartex-infant-car-seat%2F71750%2F2383555&intsrc=CATF_8981
cmqphrvqv03n6dqwrtsuct6bd,Chicco KeyFit Max Zip ClearTex Infant Car Seat in Sierra,Chicco,KeyFit Max Zip ClearTex,skip-existing,canonical infant car seat already exists,https://babylist.pxf.io/c/6560395/1160375/13580?prodsku=2491101&u=https%3A%2F%2Fwww.babylist.com%2Fgp%2Fchicco-keyfit-max-zip-cleartex-infant-car-seat%2F71750%2F2491101&intsrc=CATF_8981
cmqx4jb9d002r3a8urqnm1tke,"Chicco Keyfit Max Zip Cleartex Infant Car Seat, Sierra",Chicco,KeyFit Max Zip ClearTex,skip-existing,canonical infant car seat already exists,https://www.macrobaby.com/products/chicco-keyfit-max-zip-cleartex-infant-car-seat-sierra?_j=taylormadebabyco.com
cmqphs84b03r3dqwrxpry9hde,Clek Liing Infant Car Seat in Edge Ziip (Flame Retardant Free),Clek,Liing,skip-existing,canonical infant car seat already exists,https://babylist.pxf.io/c/6560395/1160375/13580?prodsku=2571254&u=https%3A%2F%2Fwww.babylist.com%2Fgp%2Fclek-liing-infant-car-seat%2F14716%2F2571254&intsrc=CATF_8981
cmqphs5ra03qcdqwrq097niua,Clek Liing Infant Car Seat in Highlands Ziip (Flame Retardant Free),Clek,Liing,skip-existing,canonical infant car seat already exists,https://babylist.pxf.io/c/6560395/1160375/13580?prodsku=2571258&u=https%3A%2F%2Fwww.babylist.com%2Fgp%2Fclek-liing-infant-car-seat%2F14716%2F2571258&intsrc=CATF_8981
cmqphs58w03q6dqwroakr4vtp,Clek Liing Infant Car Seat in Railroad Ziip (Flame Retardant Free),Clek,Liing,skip-existing,canonical infant car seat already exists,https://babylist.pxf.io/c/6560395/1160375/13580?prodsku=2028173&u=https%3A%2F%2Fwww.babylist.com%2Fgp%2Fclek-liing-infant-car-seat%2F14716%2F2028173&intsrc=CATF_8981
cmqphs5i103q9dqwrd4xxxc4t,Clek Liing Infant Car Seat in Vintage Ziip (Flame Retardant Free),Clek,Liing,skip-existing,canonical infant car seat already exists,https://babylist.pxf.io/c/6560395/1160375/13580?prodsku=2571256&u=https%3A%2F%2Fwww.babylist.com%2Fgp%2Fclek-liing-infant-car-seat%2F14716%2F2571256&intsrc=CATF_8981
cmqphu58n04codqwr0pyj787a,Cybex Aton G2 Infant Car Seat with Load Leg Base in Almond Beige,Cybex,Aton G2,update-existing-retailer,canonical infant car seat already exists; Babylist retailer fields were empty and have been backfilled,https://babylist.pxf.io/c/6560395/1160375/13580?prodsku=2797217&u=https%3A%2F%2Fwww.babylist.com%2Fgp%2Fcybex-aton-g2-infant-car-seat-with-load-leg-base%2F78438%2F2797217&intsrc=CATF_8981
cmqphu5ig04crdqwr14kfzrd9,Cybex Aton G2 Infant Car Seat with Load Leg Base in Moon Black,Cybex,Aton G2,skip-existing,canonical infant car seat already exists,https://babylist.pxf.io/c/6560395/1160375/13580?prodsku=2797218&u=https%3A%2F%2Fwww.babylist.com%2Fgp%2Fcybex-aton-g2-infant-car-seat-with-load-leg-base%2F78438%2F2797218&intsrc=CATF_8981
cmqphu5sf04cudqwrsg60hzjb,Cybex Aton G2 Swivel Infant Car Seat with Load Leg Base in Almond Beige,Cybex,Aton G2,skip-existing,canonical infant car seat already exists,https://babylist.pxf.io/c/6560395/1160375/13580?prodsku=2846963&u=https%3A%2F%2Fwww.babylist.com%2Fgp%2Fcybex-aton-g2-swivel-infant-car-seat-with-load-leg-base%2F79490%2F2846963&intsrc=CATF_8981
cmqphu61p04cxdqwrsndcaocm,Cybex Aton G2 Swivel Infant Car Seat with Load Leg Base in Moon Black,Cybex,Aton G2,skip-existing,canonical infant car seat already exists,https://babylist.pxf.io/c/6560395/1160375/13580?prodsku=2846964&u=https%3A%2F%2Fwww.babylist.com%2Fgp%2Fcybex-aton-g2-swivel-infant-car-seat-with-load-leg-base%2F79490%2F2846964&intsrc=CATF_8981
cmqphu6di04d0dqwrk69sjbxf,Cybex Aton G2 Swivel Infant Car Seat with Load Leg Base in Stone Grey,Cybex,Aton G2,skip-existing,canonical infant car seat already exists,https://babylist.pxf.io/c/6560395/1160375/13580?prodsku=2846966&u=https%3A%2F%2Fwww.babylist.com%2Fgp%2Fcybex-aton-g2-swivel-infant-car-seat-with-load-leg-base%2F79490%2F2846966&intsrc=CATF_8981
cmqphu6n804d3dqwr4d5rujcv,Cybex Aton G2 Swivel Infant Car Seat with Load Leg Base in Stormy Blue,Cybex,Aton G2,skip-existing,canonical infant car seat already exists,https://babylist.pxf.io/c/6560395/1160375/13580?prodsku=2846967&u=https%3A%2F%2Fwww.babylist.com%2Fgp%2Fcybex-aton-g2-swivel-infant-car-seat-with-load-leg-base%2F79490%2F2846967&intsrc=CATF_8981
cmqphud1k04f3dqwr130y3t8z,Cybex Cloud G Pro Comfort Extend Infant Car Seat in Almond Beige,Cybex,Cloud G Pro Comfort Extend,update-existing-retailer,canonical infant car seat already exists; Babylist retailer fields were empty and have been backfilled,https://babylist.pxf.io/c/6560395/1160375/13580?prodsku=2732817&u=https%3A%2F%2Fwww.babylist.com%2Fgp%2Fcybex-cloud-g-pro-comfort-extend-infant-car-seat%2F77670%2F2732817&intsrc=CATF_8981
cmqphuc9e04eudqwr4h6ksovo,Cybex Cloud G Pro Comfort Extend Infant Car Seat in Moon Black,Cybex,Cloud G Pro Comfort Extend,skip-existing,canonical infant car seat already exists,https://babylist.pxf.io/c/6560395/1160375/13580?prodsku=2719289&u=https%3A%2F%2Fwww.babylist.com%2Fgp%2Fcybex-cloud-g-pro-comfort-extend-infant-car-seat%2F77670%2F2719289&intsrc=CATF_8981
cmqphuciq04exdqwrw1dzvtbc,Cybex Cloud G Pro Comfort Extend Infant Car Seat in Ocean Blue,Cybex,Cloud G Pro Comfort Extend,skip-existing,canonical infant car seat already exists,https://babylist.pxf.io/c/6560395/1160375/13580?prodsku=2719290&u=https%3A%2F%2Fwww.babylist.com%2Fgp%2Fcybex-cloud-g-pro-comfort-extend-infant-car-seat%2F77670%2F2719290&intsrc=CATF_8981
cmqphucs404f0dqwrehk9c8pv,Cybex Cloud G Pro Comfort Extend Infant Car Seat in Stone Grey,Cybex,Cloud G Pro Comfort Extend,skip-existing,canonical infant car seat already exists,https://babylist.pxf.io/c/6560395/1160375/13580?prodsku=2719291&u=https%3A%2F%2Fwww.babylist.com%2Fgp%2Fcybex-cloud-g-pro-comfort-extend-infant-car-seat%2F77670%2F2719291&intsrc=CATF_8981
cmqphuday04f6dqwrjb6tqzug,Cybex Cloud G Pro Comfort Extend Infant Car Seat in Stormy Blue,Cybex,Cloud G Pro Comfort Extend,skip-existing,canonical infant car seat already exists,https://babylist.pxf.io/c/6560395/1160375/13580?prodsku=2730659&u=https%3A%2F%2Fwww.babylist.com%2Fgp%2Fcybex-cloud-g-pro-comfort-extend-infant-car-seat%2F77670%2F2730659&intsrc=CATF_8981
cmqphuevp04fodqwrf63rsjvw,Cybex Cloud T Comfort Extend Infant Car Seat with SensorSafe in City Grey,Cybex,Cloud T Comfort Extend,update-existing-retailer,canonical infant car seat already exists; Babylist retailer fields were empty and have been backfilled,https://babylist.pxf.io/c/6560395/1160375/13580?prodsku=3316452&u=https%3A%2F%2Fwww.babylist.com%2Fgp%2Fcybex-cloud-t-comfort-extend-infant-car-seat-with-sensorsafe%2F58039%2F3316452&intsrc=CATF_8981
cmqphuecy04fidqwrmjuw77yd,Cybex Cloud T Comfort Extend Infant Car Seat with SensorSafe in Cozy Beige,Cybex,Cloud T Comfort Extend,skip-existing,canonical infant car seat already exists,https://babylist.pxf.io/c/6560395/1160375/13580?prodsku=2178292&u=https%3A%2F%2Fwww.babylist.com%2Fgp%2Fcybex-cloud-t-comfort-extend-infant-car-seat-with-sensorsafe%2F58039%2F2178292&intsrc=CATF_8981
cmqphudti04fcdqwr9qxfteke,Cybex Cloud T Comfort Extend Infant Car Seat with SensorSafe in Leaf Green,Cybex,Cloud T Comfort Extend,skip-existing,canonical infant car seat already exists,https://babylist.pxf.io/c/6560395/1160375/13580?prodsku=2178290&u=https%3A%2F%2Fwww.babylist.com%2Fgp%2Fcybex-cloud-t-comfort-extend-infant-car-seat-with-sensorsafe%2F58039%2F2178290&intsrc=CATF_8981
cmqphue3q04ffdqwrpc6fqx99,Cybex Cloud T Comfort Extend Infant Car Seat with SensorSafe in Mirage Grey,Cybex,Cloud T Comfort Extend,skip-existing,canonical infant car seat already exists,https://babylist.pxf.io/c/6560395/1160375/13580?prodsku=2178291&u=https%3A%2F%2Fwww.babylist.com%2Fgp%2Fcybex-cloud-t-comfort-extend-infant-car-seat-with-sensorsafe%2F58039%2F2178291&intsrc=CATF_8981
cmqphuf5704frdqwrvkgaov80,Cybex Cloud T Comfort Extend Infant Car Seat with SensorSafe in Off White,Cybex,Cloud T Comfort Extend,skip-existing,canonical infant car seat already exists,https://babylist.pxf.io/c/6560395/1160375/13580?prodsku=3316453&u=https%3A%2F%2Fwww.babylist.com%2Fgp%2Fcybex-cloud-t-comfort-extend-infant-car-seat-with-sensorsafe%2F58039%2F3316453&intsrc=CATF_8981
cmqphudkb04f9dqwr315pkih0,Cybex Cloud T Comfort Extend Infant Car Seat with SensorSafe in Platinum White,Cybex,Cloud T Comfort Extend,skip-existing,canonical infant car seat already exists,https://babylist.pxf.io/c/6560395/1160375/13580?prodsku=2178289&u=https%3A%2F%2Fwww.babylist.com%2Fgp%2Fcybex-cloud-t-comfort-extend-infant-car-seat-with-sensorsafe%2F58039%2F2178289&intsrc=CATF_8981
cmqphuema04fldqwr0ojn2316,Cybex Cloud T Comfort Extend Infant Car Seat with SensorSafe in Sepia Black,Cybex,Cloud T Comfort Extend,skip-existing,canonical infant car seat already exists,https://babylist.pxf.io/c/6560395/1160375/13580?prodsku=2178293&u=https%3A%2F%2Fwww.babylist.com%2Fgp%2Fcybex-cloud-t-comfort-extend-infant-car-seat-with-sensorsafe%2F58039%2F2178293&intsrc=CATF_8981
cmqx4j2zg00063a8u5618wh3c,Cybex - Cloud T Infant Car Seatsensorsafe - Sepia Black,Cybex,Cloud T,skip-existing,canonical infant car seat already exists,https://www.macrobaby.com/products/cybex-cloud-t-infant-car-seatsensorsafe-sepia-black?_j=taylormadebabyco.com
cmqx4j2q400033a8urpd1tqyt,Cybex - Cloud T With Sensorsafe - Jeremy Scott Wings,Cybex,Cloud T,skip-existing,canonical infant car seat already exists,https://www.macrobaby.com/products/cybex-cloud-t-with-sensorsafe-jeremy-scott-wings?_j=taylormadebabyco.com
cmqphxvw505iudqwrr4hil0tz,Doona Infant Car Seat & Stroller,Doona,Doona,update-existing-retailer,canonical infant car seat already exists; Babylist retailer fields were empty and have been backfilled,https://babylist.pxf.io/c/6560395/1160375/13580?prodsku=411207&u=https%3A%2F%2Fwww.babylist.com%2Fgp%2Fdoona-infant-car-seat-stroller-midnight-edition%2F19926%2F411207&intsrc=CATF_8981
cmqphxu2m05i9dqwrj0xwyjhu,Doona Infant Car Seat & Stroller in Blush Pink,Doona,Doona,skip-existing,canonical infant car seat already exists,https://babylist.pxf.io/c/6560395/1160375/13580?prodsku=31861&u=https%3A%2F%2Fwww.babylist.com%2Fgp%2Fdoona-infant-car-seat-stroller%2F14613%2F31861&intsrc=CATF_8981
cmqphxvmx05irdqwrx7ln6zjr,Doona Infant Car Seat & Stroller in Deep Blue,Doona,Doona,skip-existing,canonical infant car seat already exists,https://babylist.pxf.io/c/6560395/1160375/13580?prodsku=2528371&u=https%3A%2F%2Fwww.babylist.com%2Fgp%2Fdoona-infant-car-seat-stroller%2F14613%2F2528371&intsrc=CATF_8981
cmqphxuln05ifdqwr2ehfspzp,Doona Infant Car Seat & Stroller in Desert Green,Doona,Doona,skip-existing,canonical infant car seat already exists,https://babylist.pxf.io/c/6560395/1160375/13580?prodsku=1004727&u=https%3A%2F%2Fwww.babylist.com%2Fgp%2Fdoona-infant-car-seat-stroller%2F14613%2F1004727&intsrc=CATF_8981
cmqphxubz05icdqwrtdmdxkax,Doona Infant Car Seat & Stroller in Nitro Black,Doona,Doona,skip-existing,canonical infant car seat already exists,https://babylist.pxf.io/c/6560395/1160375/13580?prodsku=31863&u=https%3A%2F%2Fwww.babylist.com%2Fgp%2Fdoona-infant-car-seat-stroller%2F14613%2F31863&intsrc=CATF_8981
cmqphxuvh05iidqwru89xg34g,Doona Infant Car Seat & Stroller in Ocean Blue,Doona,Doona,skip-existing,canonical infant car seat already exists,https://babylist.pxf.io/c/6560395/1160375/13580?prodsku=2041478&u=https%3A%2F%2Fwww.babylist.com%2Fgp%2Fdoona-infant-car-seat-stroller%2F14613%2F2041478&intsrc=CATF_8981
cmqphxv4p05ildqwr6chft68v,Doona Infant Car Seat & Stroller in Sahara Sand,Doona,Doona,skip-existing,canonical infant car seat already exists,https://babylist.pxf.io/c/6560395/1160375/13580?prodsku=2041479&u=https%3A%2F%2Fwww.babylist.com%2Fgp%2Fdoona-infant-car-seat-stroller%2F14613%2F2041479&intsrc=CATF_8981
cmqphxvdu05iodqwritveyd80,Doona Infant Car Seat & Stroller in Slate Green,Doona,Doona,skip-existing,canonical infant car seat already exists,https://babylist.pxf.io/c/6560395/1160375/13580?prodsku=2528370&u=https%3A%2F%2Fwww.babylist.com%2Fgp%2Fdoona-infant-car-seat-stroller%2F14613%2F2528370&intsrc=CATF_8981
cmqx4l55v00n63a8u7m3rifhe,"Doona+ Infant Car Seat & Stroller, Sahara Sand",Doona,Doona+,skip-existing,canonical infant car seat already exists,https://www.macrobaby.com/products/doona-infant-car-seat-with-base-shara-sand?_j=taylormadebabyco.com
cmqx4j6ia00193a8ualq8s3mi,"Doona - Infant Car Seat With Base, Deep Blue",Doona,Doona,skip-existing,canonical infant car seat already exists,https://www.macrobaby.com/products/doona-infant-car-seat-with-base-deep-blue?_j=taylormadebabyco.com
cmqx4jdo1003i3a8uct9d4wpx,"Doona - Infant Car Seat With Base, Ocean Blue",Doona,Doona,skip-existing,canonical infant car seat already exists,https://www.macrobaby.com/products/doona-infant-car-seat-with-base-ocean-blue?_j=taylormadebabyco.com
cmqx4j3kg000c3a8ump8m6yan,"Doona - Infant Car Seat With Base, Slate Green",Doona,Doona,skip-existing,canonical infant car seat already exists,https://www.macrobaby.com/products/doona-infant-car-seat-with-base-slate-green?_j=taylormadebabyco.com
cmqx4j7ku001l3a8u5chp992a,"Doona - Infant Car Seat With Base & Stroller, Blush Pink",Doona,Doona,skip-existing,canonical infant car seat already exists,https://www.macrobaby.com/products/doona-infant-car-seat-stroller-blush-pink?_j=taylormadebabyco.com
cmqx4j5q000103a8u9m52vzqo,"Doona - Infant Car Seat With Base & Stroller, Desert Green",Doona,Doona,skip-existing,canonical infant car seat already exists,https://www.macrobaby.com/products/doona-infant-car-seat-with-base-desert-green?_j=taylormadebabyco.com
cmqx4j8n0001x3a8ubc57nqtk,"Doona - Infant Car Seat With Base & Stroller, Midnight",Doona,Doona,skip-existing,canonical infant car seat already exists,https://www.macrobaby.com/products/doona-stroller-car-seat-with-base-midnight?_j=taylormadebabyco.com
cmqx4j7u2001o3a8uge1tgdgy,"Doona - Infant Car Seat With Base & Stroller, Nitro Black",Doona,Doona,skip-existing,canonical infant car seat already exists,https://www.macrobaby.com/products/doona-infant-car-seat-stroller-nitro-black?_j=taylormadebabyco.com
cmqpi083w069cdqwroyv9vyyf,Evenflo Gold Shyft DualRide Infant Car Seat Stroller Combo w Carryall Storage & Extended Canopy in Champagne/Green/Gentle Fabric,Evenflo,Gold Shyft DualRide,skip-no-model,"model was empty, too long, or accessory-like",https://babylist.pxf.io/c/6560395/1160375/13580?prodsku=2383550&u=https%3A%2F%2Fwww.babylist.com%2Fgp%2Fevenflo-gold-shyft-dualride-infant-car-seat-stroller-combo-w-carryall-storage-extended-canopy%2F72979%2F2383550&intsrc=CATF_8981
cmqpi08m6069idqwr3ga4sc4v,Evenflo Gold Shyft DualRide Infant Car Seat Stroller Combo w Carryall Storage & Extended Canopy in Moonstone,Evenflo,Gold Shyft DualRide,skip-no-model,"model was empty, too long, or accessory-like",https://babylist.pxf.io/c/6560395/1160375/13580?prodsku=2417731&u=https%3A%2F%2Fwww.babylist.com%2Fgp%2Fevenflo-gold-shyft-dualride-infant-car-seat-stroller-combo-w-carryall-storage-extended-canopy%2F72979%2F2417731&intsrc=CATF_8981
cmqpi08cy069fdqwrvu9bddiu,Evenflo Gold Shyft DualRide Infant Car Seat Stroller Combo w Carryall Storage & Extended Canopy in Onyx,Evenflo,Gold Shyft DualRide,skip-no-model,"model was empty, too long, or accessory-like",https://babylist.pxf.io/c/6560395/1160375/13580?prodsku=2417730&u=https%3A%2F%2Fwww.babylist.com%2Fgp%2Fevenflo-gold-shyft-dualride-infant-car-seat-stroller-combo-w-carryall-storage-extended-canopy%2F72979%2F2417730&intsrc=CATF_8981
cmqpi0axq06a0dqwr17ygvk67,Evenflo LiteMax NXT Infant Car Seat with SensorySoothe in Jasper,Evenflo,LiteMax NXT,update-existing-retailer,canonical infant car seat already exists; Babylist retailer fields were empty and have been backfilled,https://babylist.pxf.io/c/6560395/1160375/13580?prodsku=2423865&u=https%3A%2F%2Fwww.babylist.com%2Fgp%2Fevenflo-litemax-nxt-infant-car-seat-with-sensorysoothe%2F73031%2F2423865&intsrc=CATF_8981
cmqpi09y4069xdqwrmg4wmbty,Evenflo LiteMax NXT Infant Car Seat with SensorySoothe in Quartz,Evenflo,LiteMax NXT,skip-existing,canonical infant car seat already exists,https://babylist.pxf.io/c/6560395/1160375/13580?prodsku=2423864&u=https%3A%2F%2Fwww.babylist.com%2Fgp%2Fevenflo-litemax-nxt-infant-car-seat-with-sensorysoothe%2F73031%2F2423864&intsrc=CATF_8981
cmqpi0dtj06axdqwrqt8muevm,Evenflo Revolve180 LiteMax NXT Rotational Infant Car Seat with SensorySoothe in Quartz,Evenflo,Revolve180 LiteMax NXT Rotational,update-existing-retailer,canonical infant car seat already exists; Babylist retailer fields were empty and have been backfilled,https://babylist.pxf.io/c/6560395/1160375/13580?prodsku=2417736&u=https%3A%2F%2Fwww.babylist.com%2Fgp%2Fevenflo-revolve180-litemax-nxt-rotational-infant-car-seat-with-sensorysoothe%2F72981%2F2417736&intsrc=CATF_8981
cmqpi0fm306bidqwrhri4j9vw,Evenflo Shyft DualRide Infant Car Seat Stroller Combo with Carryall Storage in Boone,Evenflo,Shyft DualRide,skip-no-model,"model was empty, too long, or accessory-like",https://babylist.pxf.io/c/6560395/1160375/13580?prodsku=2417732&u=https%3A%2F%2Fwww.babylist.com%2Fgp%2Fevenflo-shyft-dualride-infant-car-seat-stroller-combo-with-carryall-storage%2F72980%2F2417732&intsrc=CATF_8981
